erezaugtanẽpo	ere zaugt anẽ po
sẽswawanakom	sẽswawana kom
niwe	ni we
opukudʒ	o pu ku dʒ
səsəwe	sə sə we
oɨrɨru	o ɨ rɨru
dekaraɨdʒi	de karaɨ dʒi
ipuruʔa	i puru ʔa
tatapewan	ta ta pewa n
orozopodʒ	oro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔoʔog awĩ
sikuwakatu	si kuwa katu
oɨrumõde	o ɨru mõde
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷa raɨ rehe rako
mananãhãto	ma nan ãhã to
oket	o ket
erepotanẽso	ere pota nẽ so
esisiganũwã	e sisiga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe ekar iɲ
dʒu	dʒu
ɨrukom	ɨru kom
ozopodʒo	o zopodʒ o
patupope	pa tu pope
oapar	o a par
tazaram	ta zar am
surug	suru g
arakapusauhu	a rakapusa uhu
akaʔanũpã	a ka ʔa nũpã
masakaraenam	ma sakara enam
opoʔoʔe	o poʔo ʔe
debaʔewaraso	de baʔewara so
tede	te de
taowe	ta o we
imaniaɨ	i mani aɨ
pebaridʒateso	pe baridʒa te so
mokoɲtaroŋ	mokoɲ taroŋ
urukureʔa	uru kure ʔa
ezeburupa	e zeburupa
mame	ma me
maiream	ma ire am
ozeka	o zeka
iɲuʔaŋ	i ɲuʔaŋ
ka	ka
aŋ	aŋ
epotaroŋ	e po taroŋ
kob	ko b
owa	o wa
masogotɨ	maso gotɨ
aiɲuŋ	a iɲuŋ
kʷər	kʷər
takuruʔar	ta kuru ʔar
apɨdʒakotɨ	a pɨdʒa kotɨ
deleiba	de le iba
didʒamãʔẽaɨdʒi	di dʒa mãʔẽ aɨdʒi
nõdemõdokaroŋ	nõde mõd okar oŋ
nõdepe	nõde pe
otuitʃẽ	o tui tʃẽ
baipurirɨepopenẽ	bai puri rɨe pope nẽ
iwɨrakotɨʔe	i wɨra kotɨ ʔe
ozewapihipihiŋ	oze wa pihipihiŋ
wɨraʔazozoga	wɨra ʔa zozoga
anamiaha	a nami aha
imenoŋ	i men oŋ
obowɨg	obo wɨg
owur	o wur
apɨhɨg	a pɨhɨg
oɨruanẽʔe	o ɨru anẽ ʔe
siʔu	si ʔu
pananarebeʔɨb	pananarebe ʔɨb
zaɨr	zaɨ r
eredʒu	ere dʒu
kɨtorehe	kɨto rehe
debaʔewarapo	de baʔewara po
penedu	pe nedu
iwɨrakotɨ	i wɨra kotɨ
dokusugi	do kusug i
mokoɲ	mokoɲ
tekeʔɨrãhã	te keʔɨr ãhã
idʒepaila	i dʒe paila
omõbakatu	omõ ba katu
ikerape	i ker ape
ezozopodʒ	e zo zopodʒ
kʷi	kʷ i
osisigarehe	o sisiga rehe
poromõmaʔam	poro mõmaʔ am
omãʔẽõwã	o mãʔẽ õwã
orekʷarmeʔeŋoŋ	o rekʷar m eʔe ŋ oŋ
oiɲuŋtaroŋ	o iɲuŋ taroŋ
ahẽ	ahẽ
okẽhemʔog	o kẽ hem ʔog
erezikanẽ	ere zika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	e moze mo hun
tekoũwã	teko ũwã
urukureʔawi	uru kure ʔa wi
obosale	obo sale
aho	a ho
omumuɲõ	o mumuɲ õ
anami	a nami
panaĩsĩ	pa naĩ sĩ
omokaʔẽpa	omo kaʔẽ pa
nan	nan
nanãhãte	nan ãhã te
toporahadʒ	to porahadʒ
erepotar	ere pota r
tʃẽ	tʃ ẽ
oekar	o ekar
səwe	sə we
izonaɲapɨrɨ	i zonaɲ a pɨrɨ
cayenneawinẽ	ca yenne awi nẽ
okaʔar	o kaʔar
lekolazarakom	lekol a zar akom
awata	a wata
sautu	sautu
ewinẽ	e wi nẽ
bal	ba l
françoise	fr anço ise
zoaʔɨrape	zoaʔɨr ape
maŋ	ma ŋ
baʔepe	baʔepe
dekuɲaɲi	de kuɲa ɲi
dozemõdɨʔariŋ	do zemõ dɨ ʔar i ŋ
eraho	eraho
matɨwara	matɨ wa ra
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	da warimãʔẽ enam
obotukukokat	obo tukuk okat
oʔao	o ʔa o
waita	wai ta
õhem	õhem
omõbagatu	omõ ba gatu
eremenõɲ	ere men õ ɲ
porowar	poro war
ʔɨpope	ʔɨ pope
ozoʔog	o zo ʔog
troissautskotɨ	troissauts kotɨ
apɨdʒate	a pɨdʒa te
piɲaŋi	pi ɲaŋi
orɨru	o rɨru
onan	o nan
zaɨraʔɨrate	zaɨ raʔɨr ate
aʔete	a ʔe te
izonaɲ	i zonaɲ
tekorehe	te ko rehe
ikiʔɨ	i kiʔɨ
erepokogtar	ere pokog tar
orohotaruwe	oro ho tar uwe
pemõbeʔu	pe mõ b eʔu
esago	esago
kijapope	kija pope
naonan	na o nan
idʒeate	i dʒe ate
pitakomape	pitakom ape
apamanẽ	apam anẽ
eremozaugokar	ere mozaug okar
kʷienam	kʷ i enam
adudʒa	a dudʒa
idʒakaŋaʔar	i dʒa kaŋaʔar
okaoka	o kaoka
oimiʔũ	oimi ʔũ
disidʒapɨakadʒi	di si dʒapɨaka dʒi
emen	e men
ikɨʔa	i kɨ ʔa
ta	ta
karairupi	karai rupi
omeʔeŋgatu	o meʔeŋ gatu
obobaʔewatokat	obo baʔewat okat
onaŋ	o na ŋ
toroike	toro ike
epe	e pe
mananeto	ma nane to
otuio	o tui o
emõdur	e mõdur
ikeʔɨ	ike ʔɨ
erepotarnẽso	ere pota r nẽ so
kobpakatu	ko b pakatu
tou	to u
kʷienã	kʷ i enã
omõdo	o mõd o
tekoawu	teko awu
amumuɲ	a mumuɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨra ʔe pɨhɨg am
operoperog	o perope rog
taraɲeahẽ	ta raɲe ahẽ
zoɨpɨrehe	zo ɨ pɨ rehe
wɨtʃɨnũwãso	wɨ tʃɨ nũwã so
eʔiʔe	e ʔi ʔe
wɨrakarakotɨnuwã	wɨra kara kotɨ nuwã
akaʔutariɲ	a kaʔu tar iɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõ gaʔu okar
tekorapɨdʒate	teko rapɨdʒ ate
epaila	e paila
mokoɲamãʔẽkom	mokoɲ a mãʔẽ kom
iʔareʔe	i ʔar eʔe
siparam	si par am
tekokomãhã	teko kom ãhã
ijɨkom	i jɨ kom
aʔɨrate	aʔɨrate
ede	e de
kowioʔu	ko wi oʔu
wɨtʃɨnẽ	wɨ tʃɨ nẽ
opokadʒaitʃe	o poka dʒa itʃe
oʔa	o ʔa
zar	zar
meʔeŋoŋ	meʔeŋ oŋ
sa	sa
emebɨr	e mebɨr
oropõʔãeta	oro põʔã eta
bedʒu	be dʒu
ʒãdamam	ʒãd am am
apamabaʔekʷərakom	apama baʔekʷər akom
rehete	rehe te
imodamãʔẽkom	imo da mãʔẽ kom
aroʔa	a ro ʔa
oiɲuŋtaro	o iɲuŋ tar o
sisu	si su
takuru	ta kuru
emenatesipo	e men ate sipo
pukutʃa	pu kutʃa
azikakom	a zika kom
nõdepedʒu	nõde pe dʒu
tupa	tu pa
diawutari	di awu tari
eru	e ru
pariamoŋ	pa ri am oŋ
abɨr	a bɨr
tekoate	te ko ate
deraɨhɨpadʒi	de raɨhɨpa dʒi
maire	ma ire
azenami	a ze nami
eʔu	e ʔu
wir	wir
wɨtɨrarehe	wɨ tɨr arehe
ozewɨro	oze wɨro
oesiruwanẽ	o esiruwa nẽ
kudʒaburuam	kudʒa buru am
anũpã	a nũpã
oromozonaɲokar	oro mo zonaɲ okar
derapɨdʒnane	de rapɨdʒ nane
peitʃɨitʃɨg	pe i tʃɨ itʃɨ g
tekeʔɨr	te keʔɨr
ɨŋa	ɨ ŋ a
aʔebarehete	aʔe ba rehe te
oiɲuŋ	o iɲuŋ
dabaʔepatari	da baʔe pa tari
ozepɨhɨgo	oze pɨhɨg o
nomãʔẽtaraɨdʒimãʔẽte	no mãʔẽ tar aɨdʒi mãʔẽ te
etaokar	e ta okar
dezarakom	de zar akom
idʒupe	idʒu pe
sujeranõãtʃã	su jeranõãtʃã
aʔenũwãso	a ʔe nũwã so
pedʒapɨakaõwã	pe dʒapɨaka õwã
purerureka	pu reru reka
sisigakomarehe	sisiga kom arehe
taraɲe	ta raɲe
domanõɲi	do manõ ɲi
obodzauk	obo dzauk
arakapusawe	a rakapusa we
poropɨhɨg	poro pɨhɨg
tukugi	tukug i
erehe	e rehe
okẽ	o kẽ
aʔɨraterehe	aʔɨrate rehe
munuʔaŋanate	munuʔaŋa n ate
apɨka	a pɨ ka
ebaʔewar	e baʔe war
karaikom	karai kom
nõdebaʔekʷərawe	nõde baʔekʷər awe
kʷaraɨpope	kʷa raɨ pope
ezozopodʒiɲ	e zo zopodʒ iɲ
ozebaradʒ	oze baradʒ
ãhãso	ãhã so
aipo	a i po
kupaɲ	ku pa ɲ
rapɨdʒate	rapɨdʒ ate
eʔi	e ʔi
omõgaʔupa	omõ gaʔu pa
aʔɨta	aʔɨ ta
tekokom	teko kom
wãĩwã	wãĩ wã
kudʒatãĩkɨr	kudʒa tãĩkɨr
ãhã	ãhã
erapɨdʒtar	e rapɨdʒ tar
lekolazarate	lekol a zar ate
otuirupiwe	o tui rupi we
zawarakomarehe	za war akom arehe
eawutar	e awu tar
ãtɨ	ã tɨ
pezika	pe zika
daepɨdʒiaʔu	da e pɨ dʒi aʔu
ʔar	ʔar
aʔebaʔekʷər	aʔe baʔekʷər
amonam	a mo nam
opoʔãpope	o poʔã pope
oeraokompa	o era o kom pa
tamãʔẽ	ta mãʔẽ
amãʔẽnẽ	a mãʔẽ nẽ
seikokom	se iko kom
itukug	i tukug
idʒar	idʒa r
toti	to ti
oʔurtar	o ʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe pope dʒi
defreãhã	de fre ãhã
epɨbɨrɨ	e pɨ bɨrɨ
omõduroŋ	o mõdur oŋ
oipir	o i pir
uruwi	uru wi
ʔɨb	ʔɨb
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨg tar eʔe
zozikaa	zo zika a
ikemɨn	ikemɨ n
ikɨwɨrakom	i kɨ wɨra kom
diakaŋi	di akaŋ i
orohotar	oro ho tar
siʔe	si ʔe
atarawadʒiɲ	a ta rawadʒ iɲ
sidʒaonẽ	si dʒao nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔã n oŋ
zadʒapɨaka	za dʒapɨaka
oʔoramte	o ʔoram te
omẽbɨro	o mẽbɨr o
omõgʷeraharanẽ	o mõgʷera har anẽ
munam	mun am
oakaŋ	o akaŋ
tab	ta b
baʔesipo	baʔe sipo
eibaŋ	e iba ŋ
lekolape	lekol ape
otuiʔe	o tui ʔe
tereraho	te re raho
kawi	kawi
iboteaweʔe	i bote awe ʔe
eɲuwanamenũwã	e ɲuwaname nũwã
ikijamaʔẽ	i kija maʔẽ
oiɲuŋoŋ	o iɲuŋ oŋ
pepazenam	pe paz enam
maŋato	ma ŋ ato
kededʒu	ke de dʒu
wɨɲate	wɨɲ a te
aʔekɨto	aʔe kɨto
rupawəra	ru pawəra
aʔe	a ʔe
oerokʷa	o ero kʷa
apoʔãetaokar	a poʔã eta okar
baʔeraʔɨrapɨhɨka	baʔeraʔɨra pɨhɨka
onenaŋoŋ	o nena ŋ oŋ
ʔarape	ʔara pe
deroʔoram	de ro ʔoram
ɨwɨʔar	ɨ wɨ ʔar
imani	i mani
sinan	si nan
terehotar	te re ho tar
datɨpɨdʒi	da tɨpɨ dʒi
apamabaʔekʷər	apama baʔekʷər
oweroporahadʒpa	o wero porahadʒ pa
amanaraʔɨrate	a ma nar aʔɨrate
okadʒ	o ka dʒ
wɨtʃɨkuwa	wɨ tʃɨ kuwa
okarabɨtebarupi	o karabɨ te ba rupi
kayenape	ka yen ape
dosuʔutari	do suʔu tari
edʒɨwe	e dʒɨ we
am	a m
sidʒu	si dʒu
kʷarapope	kʷ ara pope
mozepẽ	moze pẽ
ewedʒu	e wedʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨanam
owatamaʔẽ	o wata maʔẽ
tukukimaʔẽ	tukuk i maʔẽ
zawarenam	za war enam
aʔekom	aʔe kom
napiarehe	na pi arehe
orepe	o repe
zarakom	zar akom
õwem	õ wem
osuʔu	o suʔu
idʒeanẽ	i dʒe anẽ
zarenũwã	za re nũwã
aʔekomãhã	aʔe kom ãhã
edeatesipo	e de ate sipo
wanegatukuwa	wa ne gatu kuwa
otuiŋ	o tui ŋ
pe	pe
pezezika	peze zika
ozikakom	o zika kom
ozaug	o zaug
siŋi	si ŋ i
opa	o pa
nõdebaʔekʷərarehete	nõde baʔekʷər arehe te
pekariɲ	pe ka r iɲ
enam	e nam
obaʔe	o baʔe
tekokomarehe	teko kom arehe
epɨ	e pɨ
tapoʔo	ta poʔo
lapotarupi	l a pota rupi
ekotɨŋ	e kotɨ ŋ
otuitaro	o tui tar o
otuipamãʔẽ	o tui pamãʔẽ
zazemõapampa	za zemõ apam pa
ozaramoŋ	o zar am oŋ
zapu	za pu
tukuk	tukuk
tapiʔir	tapiʔi r
arehete	a rehe te
okakuwa	o ka kuwa
idʒupekupamãʔẽ	idʒu pe ku pamãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	to kɨr
aŋawi	a ŋ awi
aiɲuŋokatar	a iɲuŋ oka tar
ijɨrehewe	i jɨ rehe we
tapɨdʒam	tapɨdʒa m
eraha	e raha
piramãʔẽ	pi ra mãʔẽ
pazaru	paza ru
azor	a zo r
awakʷəraraʔɨr	awa kʷər a raʔɨr
zeʔoram	ze ʔoram
okijapope	o kija pope
depeidudʒi	de pe idu dʒi
nõdezarakotɨ	nõde zara kotɨ
omõgaguaŋ	omõ gagua ŋ
opirog	o pi rog
owɨr	o wɨ r
aʔuwe	a ʔu we
eakãnũpã	e akã nũpã
inamɨɲ	i namɨ ɲ
amanaraʔɨraterehe	a ma nar aʔɨrate rehe
oweta	o we ta
kede	ke de
wanemãʔẽ	wa ne mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	de raɨhɨ dʒi
sikuwa	si kuwa
emõdurawĩ	e mõdur awĩ
ozezikaŋ	oze zika ŋ
parceque	pa rcequ e
porowaratewe	poro war ate we
desuʔu	de suʔu
zapusĩ	za pu sĩ
oʔoram	o ʔoram
aipoate	a i po ate
tapɨdʒapope	tapɨdʒa pope
nõderaʔɨrakomateenam	nõ de raʔɨr akom ate enam
pedehe	pe de he
izazape	i za z ape
wiroate	wi ro ate
daʔudʒi	da ʔu dʒi
kobtarpɨrɨ	ko b tar pɨrɨ
oɨkɨdʒ	o ɨ kɨdʒ
apam	apam
omãʔẽ	o mãʔẽ
oeraho	o eraho
idʒuwiŋ	idʒu wi ŋ
ãtɨte	ã tɨ te
idʒupekupamãʔẽpuri	idʒu pe ku pamãʔẽ puri
zemenõ	ze men õ
doʔudʒi	do ʔu dʒi
səmãʔẽʔar	sə mãʔẽ ʔar
erapararaha	e r apararaha
aku	a ku
iɲuʔaŋoŋ	i ɲuʔaŋ oŋ
ozezeka	oze zeka
moɲi	mo ɲi
okarabɨteb	o karabɨ te b
zawaraenam	za wara enam
idʒeãhã	i dʒe ãhã
iwaɲe	iwa ɲ e
perabkatu	pe rab katu
wɨrakaranũwãʔe	wɨra kara nũwã ʔe
ikemɨnanam	ikemɨ n anam
awurtar	a wur tar
orekʷarape	o rekʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔe har
teko	te ko
wãĩwĩenam	wãĩ wĩ enam
oiruo	o iru o
ɨat	ɨa t
kudʒatãĩkɨrakom	kudʒa tãĩkɨr akom
napiararehe	na pi ara rehe
owata	o wata
pedapɨdʒ	pe dapɨdʒ
dadʒaʔodʒiɲ	da dʒaʔodʒ iɲ
ɨɲtʃɨwi	ɨ ɲ tʃɨwi
emẽbɨriɲ	e mẽbɨr iɲ
imen	i men
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	o kusug
okero	o ker o
zaiko	za iko
maziʔogape	ma ziʔog ape
idʒe	i dʒe
ozemokasinẽ	oze mokasi nẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	o ʔu ra mãʔẽ kom
wɨraʔa	wɨra ʔa
nanipamẽ	nan i pamẽ
to	to
dorokuwadʒi	do ro kuwa dʒi
apamaʔe	apama ʔe
takuruʔaranẽ	ta kuru ʔar anẽ
baʔewi	baʔe wi
aerahoraho	a eraho raho
rebe	rebe
otuiomãʔẽrehe	o tui o mãʔẽ rehe
aiɲuŋokartar	a iɲuŋ okar tar
irupi	i rupi
zawapinimaʔar	za wapinima ʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	na o nan pɨrɨ nẽ
obotukuk	obo tukuk
kor	ko r
koenam	ko enam
oiɲuŋbanam	o iɲuŋ ba nam
okuar	o kuar
ibaʔewato	i baʔewat o
zeporikatu	ze pori katu
urupẽhem	uru pẽhem
dezeburupa	de zeburupa
osapatokom	o sapato kom
ozebaradʒo	oze baradʒ o
oweraho	o we raho
bodʒuhukom	bodʒ uhu kom
ikotɨɲ	i kotɨ ɲ
oeta	o e ta
taʔaŋarehe	ta ʔaŋ arehe
omanõ	o manõ
paila	paila
siparate	si par ate
apoʔã	a poʔã
okɨrɨg	o kɨr ɨg
ibaʔeraɨ	i baʔe raɨ
pitaŋkomape	pitaŋ kom ape
owɨb	o wɨb
pamẽitʃe	pamẽ itʃe
meneɲõkom	me ne ɲ õ kom
datisikədʒi	da tisikə dʒi
kotɨŋ	kotɨ ŋ
aʔeate	a ʔe ate
karakuri	karakuri
raikʷara	rai kʷara
ɨaramãʔẽharakomape	ɨa ramãʔẽ har akom ape
hem	hem
bapɨr	ba pɨ r
dʒaiwərate	dʒa i wər ate
munuʔaŋanamte	munuʔaŋa n am te
demebɨri	de mebɨr i
imõbo	i mõbo
owɨkɨrog	o wɨ kɨ rog
tatabodʒ	ta ta bodʒ
dikaruginam	di karug i nam
omozezopodʒ	o moze zopodʒ
karugapopewe	karuga pope we
dʒuribaweʔe	dʒu riba we ʔe
okɨr	o kɨr
okidʒewerehe	o ki dʒe we rehe
pezebuʔuaiɲ	peze buʔua iɲ
demeni	de men i
takuruũwĩ	ta kuru ũwĩ
dapotari	da po tari
nipẽam	ni pẽ am
oronekomuwe	oro ne kom uwe
dozaugi	do zaugi
epewaramte	e pewa r am te
pirarehe	pi ra rehe
paku	pa ku
zeʔar	ze ʔar
iʔar	i ʔar
lekolazar	lekol a zar
zowomaʔẽkom	zo wo maʔẽ kom
otuitar	o tui tar
kuʔidʒi	kuʔi dʒi
dozaʔogiŋ	do zaʔog i ŋ
pira	pi ra
watekotɨwarakom	wate kotɨ war akom
naninam	nan i nam
kõʔemirehe	kõ ʔe m i rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunum i zeburupa
okaʔu	o kaʔu
osuʔupa	o suʔu pa
jawara	ja war a
oiba	o iba
esuʔu	e suʔu
omãʔẽmãʔẽ	o mãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõ de kom
pebaridʒaso	pe baridʒa so
opɨhɨgoŋ	o pɨhɨg oŋ
peneɨar	pe neɨar
zeʔari	ze ʔar i
ɨar	ɨar
dawarimãʔẽ	da warimãʔẽ
oʔupakatu	o ʔu pakatu
zoɨpɨ	zo ɨ pɨ
deru	de ru
tawadʒi	ta wa dʒi
awakʷərarehe	awa kʷər arehe
daorɨdʒi	da o rɨ dʒi
ohoʔe	o ho ʔe
mozepẽãhã	moze pẽ ãhã
zawaro	za war o
naniãhã	nan i ãhã
okoaraõwã	o ko ara õwã
dati	da ti
ɨwɨkʷarapope	ɨ wɨ kʷara pope
ipopewar	i pope war
ɨɲawite	ɨ ɲ awi te
omomokoɲanam	omo mokoɲ anam
nameʔeŋtari	na meʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	o ʔu o
atarawadʒ	a ta rawadʒ
amõkomabaʔekʷəranẽ	amõkoma baʔekʷər anẽ
kobaitʃe	ko ba itʃe
nanenũwã	na ne nũwã
edeãhãsa	e de ãhã sa
awapeto	awa pe to
idʒarɨdʒanam	i dʒarɨ dʒ anam
oboapɨg	obo apɨg
opihiokar	o pihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	o si ŋgar
ozarareiba	o zara reiba
ozekɨesago	oze kɨesago
pedʒu	pe dʒu
sisukija	si su kija
zeakapɨreri	ze akapɨreri
ozemĩnõtar	oze mĩnõ tar
sikãĩ	si kãĩ
areko	a re ko
oʔaranawe	o ʔara nawe
wɨra	wɨra
so	so
baʔekʷərakom	baʔekʷər a kom
ijɨ	i jɨ
adʒumãʔẽ	a dʒu mãʔẽ
oʔuwo	o ʔu wo
wãĩwĩam	wãĩ wĩ am
opɨhɨpa	o pɨhɨpa
mama	ma ma
manãkuwapa	ma nã kuwa pa
omeʔeŋ	o meʔeŋ
ibaridʒa	i baridʒa
okidʒerehe	o ki dʒe rehe
opopor	o popor
owag	o wa g
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	o wedʒu
owawag	o wawag
dewɨrakotɨ	de wɨra kotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa ro wər
sikãĩwe	si kãĩ we
nõdeawuawekuwaenam	nõde awu awe kuwa enam
ohoɲ	o hoɲ
kɨto	kɨto
sizika	si zika
omãʔẽo	o mãʔẽ o
zawar	za war
ɨɲ	ɨ ɲ
oirur	o iru r
12zaɨãhã	12 zaɨ ãhã
kõʔem	kõ ʔe m
ereɲ	e re ɲ
okuʔeŋ	o kuʔe ŋ
roger	roger
mun	mun
omõgerokar	omõ ger okar
baripa	ba ri pa
mamenasinã	ma me nasinã
erezor	ere zo r
arowarowagamãʔẽkom	arowa rowagamãʔẽ kom
oker	o ker
adʒutar	a dʒu tar
matɨ	ma tɨ
ipopenẽ	i pope nẽ
ozepir	oze pir
ozepɨhɨg	oze pɨhɨg
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	peze boai te sipo
turehewe	tu rehe we
aŋeʔe	aŋ eʔe
aʔenawe	a ʔe nawe
edeãhã	e de ãhã
enã	e nã
apamawi	apam awi
tokerako	to kerako
zabaʔeokar	za baʔe okar
channel	c hannel
kobazepe	ko b azepe
eʔinẽɨwər	e ʔi nẽɨwər
ozepotaroŋ	oze po taroŋ
ebaridʒa	e baridʒa
dimani	di mani
okuwapɨlɨ	o kuwa pɨlɨ
urupehem	uru pe hem
akaŋ	akaŋ
ãhãsa	ãhã sa
omẽbɨr	o mẽbɨr
omõderehe	omõ de rehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	oro ne karakuri õwã nam
abaʔepotɨr	a baʔe potɨ r
camopipori	ca mopi pori
derehe	de rehe
omanõmãʔẽ	o manõ mãʔẽ
kupao	ku pa o
ikarug	i karug
pɨhɨka	pɨhɨka
ibaʔewar	i baʔe war
ekerakoɲ	e kerako ɲ
zawaram	za wara m
edɨ	e dɨ
etarawadʒ	e ta rawadʒ
kupanam	ku pa nam
mokoɲoŋ	mokoɲ oŋ
zozikahar	zo zika har
karaam	kara am
kobara	ko b ara
nõdurtari	nõdu r tari
ereikɨdʒanũwã	ere ikɨdʒa nũwã
tɨãkã	tɨã kã
oboʔi	obo ʔi
oeroker	o ero ker
orɨorɨo	o rɨorɨ o
wɨraʔauhu	wɨra ʔa uhu
oʔurtaroŋ	o ʔur taroŋ
kujã	ku jã
abaʔe	a baʔe
bokalape	boka l ape
ozikapaŋ	o zika pa ŋ
kasuru	ka suru
onanmãʔẽate	o nan mãʔẽ ate
toroʔu	toro ʔu
kunumi	kunum i
tosiamnẽ	to si am nẽ
zawa	za wa
iwoʔi	i wo ʔi
nõdeɨane	nõde ɨa ne
ozewɨkaŋ	oze wɨka ŋ
wãĩwĩ	wãĩ wĩ
urupehemam	uru pe hem am
baʔekʷər	baʔekʷər
mɨdɨdʒunam	mɨdɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	za idu katu kom
sibaʔetar	si baʔe tar
kir	ki r
dazaugpadʒi	da zaugpa dʒi
polo	polo
zawararaʔɨr	za war a raʔɨr
omõwaɲ	omõ wa ɲ
opaʔawo	o paʔ a wo
poromokonamãʔẽate	poro mokona mãʔẽ ate
apamabaʔepeãhã	apama baʔepe ãhã
erezika	ere zika
ebɨʔaramoŋnõwã	e bɨ ʔar am oŋ n õwã
bodʒ	bodʒ
mɨnawe	mɨ nawe
amewar	a me war
zadʒapɨakanam	za dʒapɨaka nam
ozeʔupakaroŋ	oze ʔupakar oŋ
amõkom	a mõ kom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒu riba
aʔu	a ʔu
azenamiahaokar	a ze nami aha okar
izeburupanũwã	i zeburupa nũwã
akuwapakatu	a kuwa pakatu
kobãhã	ko b ãhã
nebʃa	ne bʃa
owataŋ	o wata ŋ
