erezaugtanẽpo	ere zaugta nẽpo
niwe	ni we
opukudʒ	o puku dʒ
səsəwe	sə sə we
oɨrɨru	oɨ rɨru
dekaraɨdʒi	de karaɨ dʒi
ipuruʔa	i puru ʔa
tatapewan	tata pewa n
orozopodʒ	oro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔo ʔogawĩ
sikuwakatu	si kuwa katu
oɨrumõde	o ɨru mõde
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷaraɨ rehera ko
mananãhãto	ma nan ãhãto
oket	o ket
erepotanẽso	ere pota nẽso
esisiganũwã	e sisiga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe ekar iɲ
dʒu	dʒu
ɨrukom	ɨ ru kom
ozopodʒo	o zopodʒ o
patupope	pa tu pope
oapar	oa par
tazaram	ta zar am
surug	suru g
arakapusauhu	a rakapusa uhu
akaʔanũpã	a kaʔa nũpã
masakaraenam	ma sakara enam
opoʔoʔe	o poʔo ʔe
debaʔewaraso	de baʔewara so
tede	tede
taowe	ta o we
imaniaɨ	i mani aɨ
pebaridʒateso	pe baridʒa teso
mokoɲtaroŋ	moko ɲ taroŋ
urukureʔa	uru kureʔa
ezeburupa	e zeburupa
mame	ma me
maiream	mai re am
ozeka	o zeka
iɲuʔaŋ	i ɲuʔaŋ
ka	ka
aŋ	a ŋ
epotaroŋ	e potar oŋ
kob	kob
owa	o wa
masogotɨ	ma so gotɨ
aiɲuŋ	a iɲuŋ
kʷər	kʷər
takuruʔar	ta kuru ʔar
apɨdʒakotɨ	a pɨdʒa kotɨ
deleiba	de leiba
didʒamãʔẽaɨdʒi	di dʒamãʔẽ aɨdʒi
nõdemõdokaroŋ	nõde mõd okaroŋ
nõdepe	nõde pe
otuitʃẽ	o tui tʃ ẽ
baipurirɨepopenẽ	bai puri rɨepopenẽ
iwɨrakotɨʔe	i wɨrakotɨ ʔe
ozewapihipihiŋ	oze wapihipihi ŋ
wɨraʔazozoga	wɨra ʔa zo zoga
anamiaha	a nami aha
imenoŋ	i men oŋ
obowɨg	obo wɨg
owur	o wur
apɨhɨg	a pɨhɨg
oɨruanẽʔe	o ɨru anẽʔe
siʔu	si ʔu
pananarebeʔɨb	pa nan a rebe ʔɨb
zaɨr	za ɨ r
eredʒu	ere dʒu
kɨtorehe	kɨ to rehe
debaʔewarapo	de baʔewara po
penedu	pene du
iwɨrakotɨ	i wɨrakotɨ
dokusugi	do kusug i
mokoɲ	moko ɲ
tekeʔɨrãhã	te keʔɨr ãhã
idʒepaila	i dʒe paila
omõbakatu	omõ ba katu
ikerape	i ker ape
ezozopodʒ	ezo zopodʒ
kʷi	kʷ i
osisigarehe	o sisiga rehe
poromõmaʔam	poro mõmaʔam
omãʔẽõwã	o mãʔẽ õwã
orekʷarmeʔeŋoŋ	o rekʷar meʔeŋ oŋ
oiɲuŋtaroŋ	o iɲuŋ taroŋ
ahẽ	ahẽ
okẽhemʔog	o kẽ hemʔog
erezikanẽ	ere zika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	emoze mo hun
tekoũwã	teko ũwã
urukureʔawi	uru kureʔa wi
obosale	obo sale
aho	a ho
omumuɲõ	o mumuɲõ
anami	a nami
panaĩsĩ	pa naĩsĩ
omokaʔẽpa	o mo kaʔẽpa
nan	nan
nanãhãte	nan ãhãte
toporahadʒ	to porahadʒ
erepotar	ere potar
tʃẽ	tʃ ẽ
oekar	o ekar
səwe	sə we
izonaɲapɨrɨ	i zonaɲ apɨrɨ
cayenneawinẽ	ca yenne awinẽ
okaʔar	o kaʔar
lekolazarakom	lekola zar akom
awata	a wata
sautu	sautu
ewinẽ	e wi nẽ
bal	bal
françoise	franç o ise
zoaʔɨrape	zo aʔɨr ape
maŋ	ma ŋ
baʔepe	baʔe pe
dekuɲaɲi	de kuɲa ɲi
dozemõdɨʔariŋ	do zemõdɨʔari ŋ
eraho	eraho
matɨwara	ma tɨ wara
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	da warimãʔẽ enam
obotukukokat	obo tukuk okat
oʔao	o ʔa o
waita	waita
õhem	õ hem
omõbagatu	omõ ba gatu
eremenõɲ	ere menõ ɲ
porowar	poro war
ʔɨpope	ʔɨ pope
ozoʔog	ozo ʔog
troissautskotɨ	trois sauts kotɨ
apɨdʒate	a pɨdʒa te
piɲaŋi	pi ɲa ŋi
orɨru	o rɨru
onan	o nan
zaɨraʔɨrate	za ɨ raʔɨrate
aʔete	a ʔe te
izonaɲ	i zonaɲ
tekorehe	teko rehe
ikiʔɨ	i kiʔɨ
erepokogtar	ere pokog tar
orohotaruwe	oro hotar uwe
pemõbeʔu	pe mõb e ʔu
esago	esag o
kijapope	kija pope
naonan	nao nan
idʒeate	i dʒe ate
pitakomape	pi ta komape
apamanẽ	apama nẽ
eremozaugokar	ere mozaug okar
kʷienam	kʷ i enam
adudʒa	a du dʒa
idʒakaŋaʔar	i dʒaka ŋaʔar
okaoka	o ka oka
oimiʔũ	oi mi ʔũ
disidʒapɨakadʒi	disi dʒapɨaka dʒi
emen	e men
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	kara i rupi
omeʔeŋgatu	o meʔeŋ gatu
obobaʔewatokat	obo baʔewat okat
onaŋ	o na ŋ
toroike	toro ike
epe	e pe
mananeto	ma nan eto
otuio	o tui o
emõdur	e mõdur
ikeʔɨ	ike ʔɨ
erepotarnẽso	ere potar nẽso
kobpakatu	kob pakatu
tou	to u
kʷienã	kʷ i e nã
omõdo	o mõd o
tekoawu	teko awu
amumuɲ	a mumuɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨra ʔepɨhɨgam
operoperog	o pero perog
taraɲeahẽ	ta raɲe ahẽ
zoɨpɨrehe	zo ɨpɨ rehe
wɨtʃɨnũwãso	wɨ tʃɨ nũwãso
eʔiʔe	e ʔi ʔe
wɨrakarakotɨnuwã	wɨrakara kotɨ nuwã
akaʔutariɲ	a kaʔu tariɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõ gaʔu okar
tekorapɨdʒate	teko rapɨdʒ ate
epaila	e paila
mokoɲamãʔẽkom	moko ɲ a mãʔẽ kom
iʔareʔe	i ʔar eʔe
siparam	si par am
tekokomãhã	teko komãhã
ijɨkom	i jɨ kom
aʔɨrate	a ʔɨrate
ede	e de
kowioʔu	ko wi o ʔu
wɨtʃɨnẽ	wɨ tʃɨ nẽ
opokadʒaitʃe	o pokadʒa itʃe
oʔa	o ʔa
zar	zar
meʔeŋoŋ	meʔeŋ oŋ
sa	sa
emebɨr	e mebɨr
oropõʔãeta	o ropõʔãeta
bedʒu	be dʒu
ʒãdamam	ʒãd amam
apamabaʔekʷərakom	apama baʔekʷər akom
rehete	rehe te
imodamãʔẽkom	imoda mãʔẽkom
aroʔa	a ro ʔa
oiɲuŋtaro	o iɲuŋ taro
sisu	si su
takuru	ta kuru
emenatesipo	e men atesipo
pukutʃa	puku tʃa
azikakom	a zika kom
nõdepedʒu	nõde pe dʒu
tupa	tu pa
diawutari	di awu tari
eru	e ru
pariamoŋ	pa riam oŋ
abɨr	a bɨr
tekoate	teko ate
deraɨhɨpadʒi	de raɨhɨ padʒi
maire	mai re
azenami	aze nami
eʔu	e ʔu
wir	wir
wɨtɨrarehe	wɨ tɨ rarehe
ozewɨro	oze wɨro
oesiruwanẽ	o esiruwa nẽ
kudʒaburuam	kudʒa buru am
anũpã	a nũpã
oromozonaɲokar	oromo zonaɲ okar
derapɨdʒnane	de rapɨdʒ nane
peitʃɨitʃɨg	pei tʃɨ i tʃɨ g
tekeʔɨr	te keʔɨr
ɨŋa	ɨ ŋ a
aʔebarehete	aʔe ba rehete
oiɲuŋ	o iɲuŋ
dabaʔepatari	da baʔepa tari
ozepɨhɨgo	oze pɨhɨg o
nomãʔẽtaraɨdʒimãʔẽte	no mãʔẽtaraɨ dʒimãʔẽte
etaokar	e ta okar
dezarakom	de zar akom
idʒupe	idʒu pe
sujeranõãtʃã	su jeranõãtʃã
aʔenũwãso	a ʔe nũwãso
pedʒapɨakaõwã	pe dʒapɨaka õwã
purerureka	pure ru reka
sisigakomarehe	sisiga komarehe
taraɲe	ta raɲe
domanõɲi	do manõ ɲi
obodzauk	obo dzauk
arakapusawe	a rakapusa we
poropɨhɨg	poro pɨhɨg
tukugi	tukug i
erehe	e rehe
okẽ	o kẽ
aʔɨraterehe	a ʔɨrate rehe
munuʔaŋanate	mun uʔaŋanate
apɨka	a pɨka
ebaʔewar	e baʔe war
karaikom	kara i kom
nõdebaʔekʷərawe	nõde baʔekʷər awe
kʷaraɨpope	kʷaraɨ pope
ezozopodʒiɲ	ezo zopodʒ iɲ
ozebaradʒ	oze baradʒ
ãhãso	ãhã so
aipo	ai po
kupaɲ	ku pa ɲ
rapɨdʒate	rapɨdʒ ate
eʔi	e ʔi
omõgaʔupa	omõ gaʔu pa
aʔɨta	a ʔɨ ta
tekokom	teko kom
wãĩwã	wãĩ wã
kudʒatãĩkɨr	kudʒa tãĩkɨr
ãhã	ãhã
erapɨdʒtar	e rapɨdʒ tar
lekolazarate	lekola zar ate
otuirupiwe	o tui rupiwe
zawarakomarehe	za wara komarehe
eawutar	e awu tar
ãtɨ	ã tɨ
pezika	pe zika
daepɨdʒiaʔu	da epɨ dʒi a ʔu
ʔar	ʔar
aʔebaʔekʷər	aʔe baʔekʷər
amonam	a mo nam
opoʔãpope	o poʔã pope
oeraokompa	o erao kompa
tamãʔẽ	ta mãʔẽ
amãʔẽnẽ	a mãʔẽ nẽ
seikokom	se iko kom
itukug	i tukug
idʒar	i dʒa r
toti	to ti
oʔurtar	o ʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe popedʒi
defreãhã	de fre ãhã
epɨbɨrɨ	e pɨbɨrɨ
omõduroŋ	o mõdur oŋ
oipir	oi pir
uruwi	uru wi
ʔɨb	ʔɨb
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨg tareʔe
zozikaa	zo zika a
ikemɨn	ike mɨn
ikɨwɨrakom	ikɨ wɨra kom
diakaŋi	di akaŋ i
orohotar	oro hotar
siʔe	si ʔe
atarawadʒiɲ	a tarawadʒ iɲ
sidʒaonẽ	si dʒao nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔãn oŋ
zadʒapɨaka	za dʒapɨaka
oʔoramte	o ʔor amte
omẽbɨro	o mẽbɨr o
omõgʷeraharanẽ	o mõgʷera haranẽ
munam	mun am
oakaŋ	o akaŋ
tab	ta b
baʔesipo	baʔe sipo
eibaŋ	e iba ŋ
lekolape	lekola pe
otuiʔe	o tui ʔe
tereraho	te re raho
kawi	k awi
iboteaweʔe	i bote aweʔe
eɲuwanamenũwã	e ɲuwa namenũwã
ikijamaʔẽ	i kija maʔẽ
oiɲuŋoŋ	o iɲuŋ oŋ
pepazenam	pe paze nam
maŋato	ma ŋato
kededʒu	kede dʒu
wɨɲate	wɨ ɲa te
aʔekɨto	a ʔe kɨ to
rupawəra	rupa wəra
aʔe	a ʔe
oerokʷa	oero kʷa
apoʔãetaokar	a poʔã e ta okar
baʔeraʔɨrapɨhɨka	baʔeraʔɨra pɨhɨka
onenaŋoŋ	o nena ŋoŋ
ʔarape	ʔar ape
deroʔoram	de r o ʔor am
ɨwɨʔar	ɨwɨ ʔar
imani	i mani
sinan	si nan
terehotar	te re ho tar
datɨpɨdʒi	da tɨpɨ dʒi
apamabaʔekʷər	apama baʔekʷər
oweroporahadʒpa	o we r o porahadʒ pa
amanaraʔɨrate	ama na raʔɨrate
okadʒ	o ka dʒ
wɨtʃɨkuwa	wɨ tʃɨ kuwa
okarabɨtebarupi	o karabɨteb arupi
kayenape	ka yen ape
dosuʔutari	do suʔutari
edʒɨwe	e dʒɨ we
am	a m
sidʒu	si dʒu
kʷarapope	kʷa rapope
mozepẽ	moze pẽ
ewedʒu	e wedʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨ a nam
owatamaʔẽ	o wata maʔẽ
tukukimaʔẽ	tukuk imaʔẽ
zawarenam	za war enam
aʔekom	a ʔe kom
napiarehe	napi a rehe
orepe	o re pe
zarakom	zar akom
õwem	õ wem
osuʔu	o suʔu
idʒeanẽ	i dʒe anẽ
zarenũwã	zar enũwã
aʔekomãhã	a ʔe komãhã
edeatesipo	e de atesipo
wanegatukuwa	wanegatu kuwa
otuiŋ	o tui ŋ
pe	pe
pezezika	peze zika
ozikakom	o zika kom
ozaug	o zaug
siŋi	si ŋ i
opa	o pa
nõdebaʔekʷərarehete	nõde baʔekʷər a rehe te
pekariɲ	pe kar iɲ
enam	e nam
obaʔe	o baʔe
tekokomarehe	teko komarehe
epɨ	epɨ
tapoʔo	ta poʔo
lapotarupi	la pota rupi
ekotɨŋ	e kotɨ ŋ
otuitaro	o tui taro
otuipamãʔẽ	o tui pamãʔẽ
zazemõapampa	za zemõapam pa
ozaramoŋ	o zar amoŋ
zapu	za pu
tukuk	tukuk
tapiʔir	tapi ʔi r
arehete	a rehe te
okakuwa	o ka kuwa
idʒupekupamãʔẽ	idʒu pe kupamãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	to kɨr
aŋawi	a ŋ awi
aiɲuŋokatar	a iɲuŋ okatar
ijɨrehewe	i jɨ rehewe
tapɨdʒam	ta pɨdʒa m
eraha	e raha
piramãʔẽ	pi ra mãʔẽ
pazaru	paza ru
azor	a zo r
awakʷəraraʔɨr	a wakʷəra raʔɨr
zeʔoram	ze ʔor am
okijapope	o kija pope
depeidudʒi	depe idu dʒi
nõdezarakotɨ	nõde zara kotɨ
omõgaguaŋ	omõ gagua ŋ
opirog	o pi rog
owɨr	o wɨr
aʔuwe	a ʔu we
eakãnũpã	eakã nũpã
inamɨɲ	i namɨ ɲ
amanaraʔɨraterehe	ama na raʔɨrate rehe
oweta	o we ta
kede	kede
wanemãʔẽ	wa ne mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	de raɨhɨ dʒi
sikuwa	si kuwa
emõdurawĩ	e mõdur awĩ
ozezikaŋ	oze zika ŋ
parceque	pa rceque
porowaratewe	poro war atewe
desuʔu	de suʔu
zapusĩ	za pu sĩ
oʔoram	o ʔor am
aipoate	ai po ate
tapɨdʒapope	ta pɨdʒa pope
nõderaʔɨrakomateenam	nõ de raʔɨrakomateenam
pedehe	pe dehe
izazape	iza z ape
wiroate	wir oate
daʔudʒi	da ʔu dʒi
kobtarpɨrɨ	kob tarpɨrɨ
oɨkɨdʒ	o ɨkɨ dʒ
apam	apa m
omãʔẽ	o mãʔẽ
oeraho	o eraho
idʒuwiŋ	idʒu wi ŋ
ãtɨte	ã tɨ te
idʒupekupamãʔẽpuri	idʒu pe kupamãʔẽ puri
zemenõ	ze menõ
doʔudʒi	do ʔu dʒi
səmãʔẽʔar	sə mãʔẽʔar
erapararaha	era pararaha
aku	a ku
iɲuʔaŋoŋ	i ɲuʔaŋ oŋ
ozezeka	oze zeka
moɲi	mo ɲi
okarabɨteb	o karabɨteb
zawaraenam	za wara enam
idʒeãhã	i dʒe ãhã
iwaɲe	i waɲ e
perabkatu	pe rab katu
wɨrakaranũwãʔe	wɨrakara nũwã ʔe
ikemɨnanam	ike mɨn anam
awurtar	a wur tar
orekʷarape	o rekʷar ape
tapɨdʒabaʔehar	ta pɨdʒa baʔehar
teko	teko
wãĩwĩenam	wãĩ wĩ enam
oiruo	o iru o
ɨat	ɨ at
kudʒatãĩkɨrakom	kudʒa tãĩkɨr akom
napiararehe	napi a rarehe
owata	o wata
pedapɨdʒ	pe dapɨdʒ
dadʒaʔodʒiɲ	da dʒaʔo dʒiɲ
ɨɲtʃɨwi	ɨɲ tʃɨ wi
emẽbɨriɲ	e mẽbɨr iɲ
imen	i men
tapɨdʒakʷər	ta pɨdʒa kʷər
okusug	o kusug
okero	o ker o
zaiko	za iko
maziʔogape	ma ziʔog ape
idʒe	i dʒe
ozemokasinẽ	oze mokasi nẽ
pitaŋam	pi taŋ am
oʔuramãʔẽkom	o ʔu ramãʔẽkom
wɨraʔa	wɨra ʔa
nanipamẽ	nani pamẽ
to	to
dorokuwadʒi	doro kuwa dʒi
apamaʔe	apama ʔe
takuruʔaranẽ	ta kuru ʔaranẽ
baʔewi	baʔe wi
aerahoraho	a eraho raho
rebe	rebe
otuiomãʔẽrehe	o tui o mãʔẽ rehe
aiɲuŋokartar	a iɲuŋ okartar
irupi	i rupi
zawapinimaʔar	za wapinimaʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	nao nan pɨrɨnẽ
obotukuk	obo tukuk
kor	ko r
koenam	ko enam
oiɲuŋbanam	o iɲuŋ banam
okuar	o kuar
ibaʔewato	i baʔe wato
zeporikatu	ze pori katu
urupẽhem	uru pẽhem
dezeburupa	de zeburupa
osapatokom	o sapato kom
ozebaradʒo	oze baradʒ o
oweraho	o we raho
bodʒuhukom	bo dʒ uhukom
ikotɨɲ	i kotɨ ɲ
oeta	o eta
taʔaŋarehe	ta ʔaŋa rehe
omanõ	o manõ
paila	paila
siparate	si par ate
apoʔã	a poʔã
okɨrɨg	o kɨr ɨg
ibaʔeraɨ	i baʔeraɨ
pitaŋkomape	pi taŋ komape
owɨb	o wɨb
pamẽitʃe	pa mẽ itʃe
meneɲõkom	meneɲõ kom
datisikədʒi	da ti si kə dʒi
kotɨŋ	kotɨ ŋ
aʔeate	a ʔe ate
karakuri	karakuri
raikʷara	raikʷara
ɨaramãʔẽharakomape	ɨar amãʔẽharakomape
hem	hem
bapɨr	ba pɨ r
dʒaiwərate	dʒaiwər ate
munuʔaŋanamte	mun uʔaŋanamte
demebɨri	de mebɨr i
imõbo	i mõb o
owɨkɨrog	o wɨkɨ rog
tatabodʒ	ta ta bo dʒ
dikaruginam	di karug inam
omozezopodʒ	omoze zopodʒ
karugapopewe	ka ruga popewe
dʒuribaweʔe	dʒur iba weʔe
okɨr	o kɨr
okidʒewerehe	o kidʒe werehe
pezebuʔuaiɲ	peze buʔua iɲ
demeni	de men i
takuruũwĩ	ta kuru ũwĩ
dapotari	da po tari
nipẽam	ni pẽ am
oronekomuwe	o rone komuwe
dozaugi	do zaugi
epewaramte	e pe waramte
pirarehe	pi ra rehe
paku	pa ku
zeʔar	ze ʔar
iʔar	i ʔar
lekolazar	lekola zar
zowomaʔẽkom	zo wo maʔẽkom
otuitar	o tui tar
kuʔidʒi	kuʔi dʒi
dozaʔogiŋ	do zaʔog iŋ
pira	pi ra
watekotɨwarakom	wate kotɨ warakom
naninam	nani nam
kõʔemirehe	kõʔe mi rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunu mi zeburupa
okaʔu	o kaʔu
osuʔupa	o suʔu pa
jawara	ja wara
oiba	o iba
esuʔu	e suʔu
omãʔẽmãʔẽ	o mãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõ de kom
pebaridʒaso	pe baridʒa so
opɨhɨgoŋ	o pɨhɨg oŋ
peneɨar	pene ɨar
zeʔari	ze ʔar i
ɨar	ɨar
dawarimãʔẽ	da warimãʔẽ
oʔupakatu	o ʔu pakatu
zoɨpɨ	zo ɨpɨ
deru	de ru
tawadʒi	ta wa dʒi
awakʷərarehe	a wakʷəra rehe
daorɨdʒi	dao rɨ dʒi
ohoʔe	o ho ʔe
mozepẽãhã	moze pẽ ãhã
zawaro	za war o
naniãhã	nani ãhã
okoaraõwã	o koara õwã
dati	da ti
ɨwɨkʷarapope	ɨwɨ kʷa rapope
ipopewar	i pope war
ɨɲawite	ɨɲ awite
omomokoɲanam	o mo moko ɲ anam
nameʔeŋtari	na meʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	o ʔu o
atarawadʒ	a tarawadʒ
amõkomabaʔekʷəranẽ	a mõ kom a baʔekʷər anẽ
kobaitʃe	ko ba itʃe
nanenũwã	nan enũwã
edeãhãsa	e de ãhã sa
awapeto	a wapeto
idʒarɨdʒanam	i dʒarɨdʒa nam
oboapɨg	obo apɨg
opihiokar	o pihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	osi ŋga r
ozarareiba	o zara reiba
ozekɨesago	oze kɨ esag o
pedʒu	pe dʒu
sisukija	si su kija
zeakapɨreri	ze a kapɨreri
ozemĩnõtar	oze mĩnõ tar
sikãĩ	si kãĩ
areko	a re ko
oʔaranawe	o ʔara nawe
wɨra	wɨra
so	so
baʔekʷərakom	baʔekʷər akom
ijɨ	i jɨ
adʒumãʔẽ	a dʒu mãʔẽ
oʔuwo	o ʔu wo
wãĩwĩam	wãĩ wĩ am
opɨhɨpa	o pɨhɨpa
mama	ma ma
manãkuwapa	ma nã kuwapa
omeʔeŋ	o meʔeŋ
ibaridʒa	i baridʒa
okidʒerehe	o kidʒe rehe
opopor	o popo r
owag	o wag
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	o wedʒu
owawag	o wawag
dewɨrakotɨ	de wɨrakotɨ
sede	se de
tapɨdʒarowər	ta pɨdʒa rowər
sikãĩwe	si kãĩ we
nõdeawuawekuwaenam	nõde awu awekuwaenam
ohoɲ	o ho ɲ
kɨto	kɨ to
sizika	si zika
omãʔẽo	o mãʔẽ o
zawar	za war
ɨɲ	ɨɲ
oirur	o iru r
12zaɨãhã	12za ɨ ãhã
kõʔem	kõʔe m
ereɲ	ere ɲ
okuʔeŋ	o ku ʔeŋ
roger	ro ger
mun	mun
omõgerokar	omõ ger okar
baripa	bari pa
mamenasinã	ma men a sinã
erezor	erezo r
arowarowagamãʔẽkom	a ro war o waga mãʔẽkom
oker	o ker
adʒutar	a dʒu tar
matɨ	ma tɨ
ipopenẽ	i pope nẽ
ozepir	oze pir
ozepɨhɨg	oze pɨhɨg
taike	ta ike
pakuʔa	pa ku ʔa
pezeboaitesipo	peze boaite sipo
turehewe	tu rehewe
aŋeʔe	a ŋ eʔe
aʔenawe	a ʔe nawe
edeãhã	e de ãhã
enã	e nã
apamawi	apama wi
tokerako	to kerako
zabaʔeokar	za baʔe okar
channel	channe l
kobazepe	ko ba ze pe
eʔinẽɨwər	e ʔi nẽɨwər
ozepotaroŋ	oze potar oŋ
ebaridʒa	e baridʒa
dimani	di mani
okuwapɨlɨ	o kuwa pɨlɨ
urupehem	urupe hem
akaŋ	akaŋ
ãhãsa	ãhã sa
omẽbɨr	o mẽbɨr
omõderehe	omõ de rehe
tapɨdʒape	ta pɨdʒa pe
oronekarakuriõwãnam	o rone karakuri õwãnam
abaʔepotɨr	a baʔepotɨr
camopipori	camopi pori
derehe	de rehe
omanõmãʔẽ	o manõ mãʔẽ
kupao	ku pa o
ikarug	i karug
pɨhɨka	pɨhɨka
ibaʔewar	i baʔe war
ekerakoɲ	e kerako ɲ
zawaram	za wara m
edɨ	e dɨ
etarawadʒ	e tarawadʒ
kupanam	ku pa nam
mokoɲoŋ	moko ɲ oŋ
zozikahar	zo zika har
karaam	kara am
kobara	ko ba ra
nõdurtari	nõdu rtari
ereikɨdʒanũwã	ere ikɨ dʒanũwã
tɨãkã	tɨ ãkã
oboʔi	obo ʔi
oeroker	oero ker
orɨorɨo	o rɨorɨ o
wɨraʔauhu	wɨra ʔa uhu
oʔurtaroŋ	o ʔur taroŋ
kujã	ku jã
abaʔe	a baʔe
bokalape	bokala pe
ozikapaŋ	o zika paŋ
kasuru	ka suru
onanmãʔẽate	o nan mãʔẽate
toroʔu	toro ʔu
kunumi	kunu mi
tosiamnẽ	to si amnẽ
zawa	za wa
iwoʔi	i wo ʔi
nõdeɨane	nõde ɨane
ozewɨkaŋ	oze wɨkaŋ
wãĩwĩ	wãĩ wĩ
urupehemam	urupe hem am
baʔekʷər	baʔekʷər
mɨdɨdʒunam	mɨdɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	za idu katukom
sibaʔetar	si baʔe tar
kir	kir
dazaugpadʒi	da zaugpa dʒi
polo	po l o
zawararaʔɨr	za wara raʔɨr
omõwaɲ	omõ waɲ
opaʔawo	o pa ʔawo
poromokonamãʔẽate	poromoko na mãʔẽate
apamabaʔepeãhã	apama baʔe peãhã
erezika	ere zika
ebɨʔaramoŋnõwã	ebɨ ʔaram oŋnõwã
bodʒ	bo dʒ
mɨnawe	mɨn awe
amewar	a me war
zadʒapɨakanam	za dʒapɨaka nam
ozeʔupakaroŋ	oze ʔupakar oŋ
amõkom	a mõ kom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒur iba
aʔu	a ʔu
azenamiahaokar	aze nami ahaokar
izeburupanũwã	i zeburupa nũwã
akuwapakatu	a kuwa pakatu
kobãhã	kob ãhã
nebʃa	ne bʃa
owataŋ	o wata ŋ
seredʒuɲ	se re dʒuɲ
zaidu	za idu
opoʔo	o poʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	no idu dʒiso
sidʒaorehe	si dʒao rehe
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨra ʔepɨhɨga
