erezaugtanẽpo	ere zaug tanẽpo
sẽswawanakom	sẽswawa na kom
niwe	ni we
opukudʒ	opu ku dʒ
səsəwe	sə sə we
oɨrɨru	oɨ rɨru
dekaraɨdʒi	dekara ɨ dʒi
ipuruʔa	ipu ru ʔa
tatapewan	tatape wa n
orozopodʒ	o ro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔo ʔogawĩ
sikuwakatu	siku wa katu
oɨrumõde	oɨru mõd e
tukukaɨ	tuku ka ɨ
kʷaraɨreherako	kʷar aɨreherako
mananãhãto	ma nan ãhãto
oket	o ket
erepotanẽso	erepo ta nẽso
esisiganũwã	esi siga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe e kariɲ
dʒu	dʒu
ɨrukom	ɨru kom
ozopodʒo	o zo podʒo
patupope	pa tu pope
oapar	oa pa r
tazaram	ta zar am
surug	su ru g
arakapusauhu	araka pusa uhu
akaʔanũpã	aka ʔa nũpã
masakaraenam	ma sa karaenam
opoʔoʔe	opo ʔo ʔe
debaʔewaraso	de baʔe waraso
tede	te de
taowe	ta o we
imaniaɨ	imani aɨ
pebaridʒateso	pebari dʒa teso
mokoɲtaroŋ	moko ɲ taroŋ
urukureʔa	urukure ʔa
ezeburupa	e zeburupa
mame	ma me
maiream	mai re am
ozeka	oze ka
iɲuʔaŋ	iɲu ʔa ŋ
ka	ka
aŋ	a ŋ
epotaroŋ	e po taroŋ
kob	kob
owa	o wa
masogotɨ	maso gotɨ
aiɲuŋ	a iɲuŋ
kʷər	kʷər
takuruʔar	takuru ʔar
apɨdʒakotɨ	a pɨ dʒakotɨ
deleiba	dele iba
didʒamãʔẽaɨdʒi	didʒa mãʔẽ aɨdʒi
nõdemõdokaroŋ	nõde mõd okaroŋ
nõdepe	nõde pe
otuitʃẽ	otui tʃẽ
baipurirɨepopenẽ	ba ipurirɨepopenẽ
iwɨrakotɨʔe	iwɨrako tɨ ʔe
ozewapihipihiŋ	oze wa pihipihiŋ
wɨraʔazozoga	wɨraʔa zozoga
anamiaha	a nam iaha
imenoŋ	i men oŋ
obowɨg	obo wɨ g
owur	o wur
apɨhɨg	a p ɨhɨg
oɨruanẽʔe	oɨru a nẽʔe
siʔu	si ʔu
pananarebeʔɨb	pa nan arebeʔɨb
zaɨr	za ɨr
eredʒu	ere dʒu
kɨtorehe	kɨto rehe
debaʔewarapo	de baʔe warapo
penedu	pene du
iwɨrakotɨ	iwɨ ra kotɨ
dokusugi	doku su gi
mokoɲ	moko ɲ
tekeʔɨrãhã	te keʔɨ rãhã
idʒepaila	idʒe pa ila
omõbakatu	omõ ba katu
ikerape	i ker ape
ezozopodʒ	e zo zopodʒ
kʷi	kʷ i
osisigarehe	osi siga rehe
poromõmaʔam	poromõma ʔa m
omãʔẽõwã	o mãʔẽ õwã
orekʷarmeʔeŋoŋ	ore kʷar meʔeŋoŋ
oiɲuŋtaroŋ	o iɲuŋ taroŋ
ahẽ	ahẽ
okẽhemʔog	o kẽ hemʔog
erezikanẽ	ere zika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	emozemo hun
tekoũwã	teko ũwã
urukureʔawi	urukure ʔa wi
obosale	obo sa le
aho	a ho
omumuɲõ	o mumu ɲõ
anami	a nam i
panaĩsĩ	panaĩ sĩ
omokaʔẽpa	omo kaʔẽ pa
nan	nan
nanãhãte	nan ãhãte
toporahadʒ	to po rahadʒ
erepotar	erepo tar
tʃẽ	tʃẽ
oekar	o e kar
səwe	sə we
izonaɲapɨrɨ	izona ɲa pɨrɨ
cayenneawinẽ	ca yen neawinẽ
okaʔar	oka ʔar
lekolazarakom	lekola zar akom
awata	awa ta
sautu	saut u
ewinẽ	e wi nẽ
bal	ba l
françoise	fra nçoise
zoaʔɨrape	zo aʔɨr ape
maŋ	ma ŋ
baʔepe	baʔe pe
dekuɲaɲi	deku ɲa ɲi
dozemõdɨʔariŋ	doze mõd ɨʔariŋ
eraho	e raho
matɨwara	ma tɨ wara
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	dawari mãʔẽ enam
obotukukokat	obo tuku kokat
oʔao	o ʔa o
waita	wai ta
õhem	õ hem
omõbagatu	omõ ba gatu
eremenõɲ	eremenõ ɲ
porowar	poro wa r
ʔɨpope	ʔɨ pope
ozoʔog	o zo ʔog
troissautskotɨ	trois saut skotɨ
apɨdʒate	a pɨdʒate
piɲaŋi	pi ɲa ŋi
orɨru	o rɨru
onan	o nan
zaɨraʔɨrate	za ɨ raʔɨrate
aʔete	a ʔe te
izonaɲ	izona ɲ
tekorehe	teko rehe
ikiʔɨ	iki ʔɨ
erepokogtar	erepo kog tar
orohotaruwe	o rohotar uwe
pemõbeʔu	pemõ be ʔu
esago	e sago
kijapope	kij apope
naonan	nao nan
idʒeate	idʒe a te
pitakomape	pi ta komape
apamanẽ	apam a nẽ
eremozaugokar	eremo zaug okar
kʷienam	kʷie nam
adudʒa	a du dʒa
idʒakaŋaʔar	idʒ akaŋ aʔar
okaoka	oka o ka
oimiʔũ	oi mi ʔũ
disidʒapɨakadʒi	disidʒapɨa ka dʒi
emen	e men
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	kara i rupi
omeʔeŋgatu	ome ʔeŋ gatu
obobaʔewatokat	obo baʔe watokat
onaŋ	o na ŋ
toroike	toro ike
epe	e pe
mananeto	ma nan eto
otuio	otui o
emõdur	emõ dur
ikeʔɨ	i keʔɨ
erepotarnẽso	erepo tar nẽso
kobpakatu	kob pakatu
tou	to u
kʷienã	kʷie nã
omõdo	o mõd o
tekoawu	teko awu
amumuɲ	a mumu ɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨra ʔep ɨhɨgam
operoperog	operope ro g
taraɲeahẽ	taraɲe ahẽ
zoɨpɨrehe	zoɨ pɨ rehe
wɨtʃɨnũwãso	wɨtʃ ɨ nũwãso
eʔiʔe	e ʔi ʔe
wɨrakarakotɨnuwã	wɨrakara kotɨ nuwã
akaʔutariɲ	aka ʔu tariɲ
ikuɲawi	iku ɲa wi
omõgaʔuokar	omõga ʔu okar
tekorapɨdʒate	teko ra pɨdʒate
epaila	e pa ila
mokoɲamãʔẽkom	moko ɲ amãʔẽkom
iʔareʔe	i ʔar eʔe
siparam	si pa ram
tekokomãhã	teko komãhã
ijɨkom	i jɨ kom
aʔɨrate	aʔɨr ate
ede	e de
kowioʔu	ko wi oʔu
wɨtʃɨnẽ	wɨtʃ ɨ nẽ
opokadʒaitʃe	opoka dʒa itʃe
oʔa	o ʔa
zar	za r
meʔeŋoŋ	me ʔeŋ oŋ
sa	sa
emebɨr	e me bɨr
oropõʔãeta	oro põʔã eta
bedʒu	be dʒu
ʒãdamam	ʒãdam am
apamabaʔekʷərakom	apamabaʔe kʷər akom
rehete	rehe te
imodamãʔẽkom	imo d amãʔẽkom
aroʔa	a ro ʔa
oiɲuŋtaro	o iɲuŋ taro
sisu	si su
takuru	ta kuru
emenatesipo	e men atesipo
pukutʃa	pukutʃ a
azikakom	a zika kom
nõdepedʒu	nõde pe dʒu
tupa	tu pa
diawutari	di awu tari
eru	e ru
pariamoŋ	pa ri amoŋ
abɨr	a bɨr
tekoate	teko ate
deraɨhɨpadʒi	de raɨhɨ padʒi
maire	mai re
azenami	aze nam i
eʔu	e ʔu
wir	wir
wɨtɨrarehe	wɨ tɨ rarehe
ozewɨro	oze wɨ ro
oesiruwanẽ	oesi ruw anẽ
kudʒaburuam	kudʒa buru am
anũpã	a nũpã
oromozonaɲokar	oromozo na ɲokar
derapɨdʒnane	de r apɨdʒnane
peitʃɨitʃɨg	peitʃ ɨ itʃɨg
tekeʔɨr	te keʔɨ r
ɨŋa	ɨ ŋa
aʔebarehete	aʔe b arehete
oiɲuŋ	o iɲuŋ
dabaʔepatari	dabaʔe pa tari
ozepɨhɨgo	oze p ɨhɨgo
nomãʔẽtaraɨdʒimãʔẽte	no mãʔẽ taraɨdʒimãʔẽte
etaokar	e ta okar
dezarakom	de zar akom
idʒupe	idʒu pe
sujeranõãtʃã	sujeranõãtʃ ã
aʔenũwãso	a ʔe nũwãso
pedʒapɨakaõwã	pedʒa pɨ akaõwã
purerureka	pure ru reka
sisigakomarehe	si siga komarehe
taraɲe	ta ra ɲe
domanõɲi	d omanõ ɲi
obodzauk	obo dzau k
arakapusawe	araka pusa we
poropɨhɨg	poro p ɨhɨg
tukugi	tuku gi
erehe	e rehe
okẽ	o kẽ
aʔɨraterehe	aʔɨr aterehe
munuʔaŋanate	munuʔaŋa na te
apɨka	a pɨ ka
ebaʔewar	e baʔe war
karaikom	kara i kom
nõdebaʔekʷərawe	nõdebaʔe kʷər awe
kʷaraɨpope	kʷ araɨ pope
ezozopodʒiɲ	e zo zopodʒiɲ
ozebaradʒ	oze ba radʒ
ãhãso	ãhã so
aipo	ai po
kupaɲ	kupa ɲ
rapɨdʒate	ra pɨdʒate
eʔi	e ʔi
omõgaʔupa	omõga ʔu pa
aʔɨta	aʔɨ ta
tekokom	teko kom
wãĩwã	wãĩw ã
kudʒatãĩkɨr	kudʒa tãĩk ɨr
ãhã	ãhã
erapɨdʒtar	e ra pɨdʒtar
lekolazarate	lekola zar ate
otuirupiwe	otui rupi we
zawarakomarehe	zawa ra komarehe
eawutar	e awu tar
ãtɨ	ã tɨ
pezika	pe zika
daepɨdʒiaʔu	da e pɨdʒiaʔu
ʔar	ʔar
aʔebaʔekʷər	aʔebaʔe kʷər
amonam	amo nam
opoʔãpope	o poʔã pope
oeraokompa	oe ra okompa
tamãʔẽ	ta mãʔẽ
amãʔẽnẽ	a mãʔẽ nẽ
seikokom	se iko kom
itukug	i tuku g
idʒar	i dʒa r
toti	to ti
oʔurtar	o ʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe popedʒi
defreãhã	de fre ãhã
epɨbɨrɨ	e pɨ bɨrɨ
omõduroŋ	omõ dur oŋ
oipir	oi pir
uruwi	uru wi
ʔɨb	ʔɨ b
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨ gtareʔe
zozikaa	zo zika a
ikemɨn	ikemɨ n
ikɨwɨrakom	ikɨwɨ ra kom
diakaŋi	di akaŋ i
orohotar	o rohotar
siʔe	si ʔe
atarawadʒiɲ	a ta rawadʒiɲ
sidʒaonẽ	sidʒa o nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔã noŋ
zadʒapɨaka	zadʒapɨak a
oʔoramte	o ʔo ramte
omẽbɨro	o mẽ bɨro
omõgʷeraharanẽ	o mõgʷera haranẽ
munam	mun am
oakaŋ	o akaŋ
tab	ta b
baʔesipo	baʔe sipo
eibaŋ	e iba ŋ
lekolape	lekola pe
otuiʔe	otui ʔe
tereraho	te re raho
kawi	ka wi
iboteaweʔe	i bote aweʔe
eɲuwanamenũwã	eɲuwa nam enũwã
ikijamaʔẽ	i kij amaʔẽ
oiɲuŋoŋ	o iɲuŋ oŋ
pepazenam	pepa ze nam
maŋato	ma ŋa to
kededʒu	kede dʒu
wɨɲate	wɨɲ ate
aʔekɨto	aʔe kɨto
rupawəra	ru pawəra
aʔe	a ʔe
oerokʷa	oero kʷa
apoʔãetaokar	a poʔã etaokar
baʔeraʔɨrapɨhɨka	baʔeraʔɨra pɨ hɨka
onenaŋoŋ	one na ŋoŋ
ʔarape	ʔar ape
deroʔoram	de roʔo ram
ɨwɨʔar	ɨwɨ ʔar
imani	imani
sinan	si nan
terehotar	tere ho tar
datɨpɨdʒi	da tɨ pɨdʒi
apamabaʔekʷər	apamabaʔe kʷər
oweroporahadʒpa	owe ro porahadʒpa
amanaraʔɨrate	amanar aʔɨr ate
okadʒ	o ka dʒ
wɨtʃɨkuwa	wɨtʃ ɨ kuwa
okarabɨtebarupi	okarabɨte ba rupi
kayenape	ka yen ape
dosuʔutari	dosu ʔu tari
edʒɨwe	edʒ ɨ we
am	a m
sidʒu	si dʒu
kʷarapope	kʷar apope
mozepẽ	moze pẽ
ewedʒu	e we dʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨa nam
owatamaʔẽ	owa ta maʔẽ
tukukimaʔẽ	tuku ki maʔẽ
zawarenam	zawa re nam
aʔekom	a ʔe kom
napiarehe	napia rehe
orepe	ore pe
zarakom	zar akom
õwem	õ we m
osuʔu	osu ʔu
idʒeanẽ	idʒe a nẽ
zarenũwã	zar enũwã
aʔekomãhã	a ʔe komãhã
edeatesipo	e de atesipo
wanegatukuwa	wane gatukuwa
otuiŋ	otui ŋ
pe	pe
pezezika	peze zika
ozikakom	o zika kom
ozaug	o zaug
siŋi	si ŋ i
opa	o pa
nõdebaʔekʷərarehete	nõdebaʔe kʷər arehete
pekariɲ	pe kariɲ
enam	e nam
obaʔe	o baʔe
tekokomarehe	teko komarehe
epɨ	e pɨ
tapoʔo	tapo ʔo
lapotarupi	lapo ta rupi
ekotɨŋ	e kotɨ ŋ
otuitaro	otui tar o
otuipamãʔẽ	otui pa mãʔẽ
zazemõapampa	zazemõapam pa
ozaramoŋ	o zar amoŋ
zapu	za pu
tukuk	tuku k
tapiʔir	tapi ʔi r
arehete	a rehe te
okakuwa	o ka kuwa
idʒupekupamãʔẽ	idʒupeku pa mãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	to kɨr
aŋawi	a ŋa wi
aiɲuŋokatar	a iɲuŋ okatar
ijɨrehewe	i jɨ rehewe
tapɨdʒam	tapɨdʒa m
eraha	e raha
piramãʔẽ	pi ra mãʔẽ
pazaru	pa zar u
azor	a zo r
awakʷəraraʔɨr	awa kʷər araʔɨr
zeʔoram	ze ʔo ram
okijapope	o kij apope
depeidudʒi	depe idu dʒi
nõdezarakotɨ	nõde zar akotɨ
omõgaguaŋ	omõga gua ŋ
opirog	o pir og
owɨr	owɨ r
aʔuwe	a ʔu we
eakãnũpã	eakã nũpã
inamɨɲ	i nam ɨɲ
amanaraʔɨraterehe	amanar aʔɨr aterehe
oweta	owe ta
kede	ke de
wanemãʔẽ	wane mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	de raɨhɨ dʒi
sikuwa	si kuwa
emõdurawĩ	emõ dur awĩ
ozezikaŋ	oze zika ŋ
parceque	pa rcequ e
porowaratewe	poro wa ratewe
desuʔu	de su ʔu
zapusĩ	zapu sĩ
oʔoram	o ʔo ram
aipoate	ai po ate
tapɨdʒapope	ta pɨdʒapope
nõderaʔɨrakomateenam	nõ de raʔɨrakomateenam
pedehe	ped ehe
izazape	izaza pe
wiroate	wir oate
daʔudʒi	da ʔu dʒi
kobtarpɨrɨ	kob tarpɨrɨ
oɨkɨdʒ	o ɨ kɨdʒ
apam	a p am
omãʔẽ	o mãʔẽ
oeraho	o e raho
idʒuwiŋ	i dʒu wiŋ
ãtɨte	ã tɨ te
idʒupekupamãʔẽpuri	idʒupeku pa mãʔẽpuri
zemenõ	ze men õ
doʔudʒi	do ʔu dʒi
səmãʔẽʔar	sə mãʔẽ ʔar
erapararaha	e ra pararaha
aku	a ku
iɲuʔaŋoŋ	iɲu ʔa ŋoŋ
ozezeka	oze ze ka
moɲi	mo ɲ i
okarabɨteb	okarabɨte b
zawaraenam	zawa ra enam
idʒeãhã	idʒe ãhã
iwaɲe	i wa ɲe
perabkatu	pera b katu
wɨrakaranũwãʔe	wɨraka ra nũwãʔe
ikemɨnanam	ikemɨ na nam
awurtar	a wur tar
orekʷarape	ore kʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔe har
teko	teko
wãĩwĩenam	wãĩw ĩ enam
oiruo	o iru o
ɨat	ɨat
kudʒatãĩkɨrakom	kudʒa tãĩk ɨrakom
napiararehe	napia ra rehe
owata	owa ta
pedapɨdʒ	ped a pɨdʒ
dadʒaʔodʒiɲ	dadʒa ʔo dʒiɲ
ɨɲtʃɨwi	ɨɲtʃ ɨ wi
emẽbɨriɲ	e mẽ bɨriɲ
imen	i men
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	oku su g
okero	o ker o
zaiko	za iko
maziʔogape	ma zi ʔogape
idʒe	idʒ e
ozemokasinẽ	ozemoka si nẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	o ʔur amãʔẽkom
wɨraʔa	wɨra ʔa
nanipamẽ	nani pa mẽ
to	to
dorokuwadʒi	do ro kuwadʒi
apamaʔe	apama ʔe
takuruʔaranẽ	takuru ʔar anẽ
baʔewi	baʔe wi
aerahoraho	a e rahoraho
rebe	re be
otuiomãʔẽrehe	otui o mãʔẽrehe
aiɲuŋokartar	a iɲuŋ okartar
irupi	i rupi
zawapinimaʔar	zawa pinimaʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	nao nan pɨrɨnẽ
obotukuk	obo tuku k
kor	ko r
koenam	koe nam
oiɲuŋbanam	o iɲuŋ banam
okuar	o kuar
ibaʔewato	i baʔe wato
zeporikatu	ze pori katu
urupẽhem	uru pẽ hem
dezeburupa	de zeburupa
osapatokom	o sa patokom
ozebaradʒo	oze ba radʒo
oweraho	o we raho
bodʒuhukom	bodʒ uhukom
ikotɨɲ	i kotɨ ɲ
oeta	oe ta
taʔaŋarehe	taʔa ŋa rehe
omanõ	omanõ
paila	pa ila
siparate	sipa ra te
apoʔã	a poʔã
okɨrɨg	o kɨr ɨg
ibaʔeraɨ	ibaʔera ɨ
pitaŋkomape	pitaŋ komape
owɨb	owɨ b
pamẽitʃe	pa mẽ itʃe
meneɲõkom	me neɲõkom
datisikədʒi	datisi kə dʒi
kotɨŋ	kotɨ ŋ
aʔeate	aʔe a te
karakuri	karaku ri
raikʷara	rai kʷar a
ɨaramãʔẽharakomape	ɨara mãʔẽ harakomape
hem	hem
bapɨr	ba p ɨr
dʒaiwərate	dʒa i wərate
munuʔaŋanamte	munuʔaŋa nam te
demebɨri	de me bɨri
imõbo	imõ b o
owɨkɨrog	owɨ kɨr og
tatabodʒ	tata bodʒ
dikaruginam	di karug inam
omozezopodʒ	omo ze zopodʒ
karugapopewe	karug apopewe
dʒuribaweʔe	dʒu ribaweʔe
okɨr	o kɨr
okidʒewerehe	okidʒe we rehe
pezebuʔuaiɲ	peze b uʔuaiɲ
demeni	de men i
takuruũwĩ	takuru ũwĩ
dapotari	da po tari
nipẽam	ni pẽ am
oronekomuwe	oro ne komuwe
dozaugi	do zaug i
epewaramte	e pe waramte
pirarehe	pi r arehe
paku	pa ku
zeʔar	ze ʔar
iʔar	i ʔar
lekolazar	lekola zar
zowomaʔẽkom	zo wo maʔẽkom
otuitar	otui tar
kuʔidʒi	ku ʔi dʒi
dozaʔogiŋ	do za ʔogiŋ
pira	pir a
watekotɨwarakom	wate kotɨ warakom
naninam	nani nam
kõʔemirehe	kõʔe mi rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunu mi zeburupa
okaʔu	oka ʔu
osuʔupa	osu ʔu pa
jawara	ja wara
oiba	o iba
esuʔu	e su ʔu
omãʔẽmãʔẽ	o mãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõ de kom
pebaridʒaso	pebari dʒa so
opɨhɨgoŋ	o p ɨhɨgoŋ
peneɨar	pe ne ɨar
zeʔari	ze ʔar i
ɨar	ɨa r
dawarimãʔẽ	dawari mãʔẽ
oʔupakatu	o ʔu pakatu
zoɨpɨ	zoɨ pɨ
deru	de ru
tawadʒi	ta wa dʒi
awakʷərarehe	awa kʷər arehe
daorɨdʒi	da orɨ dʒi
ohoʔe	o ho ʔe
mozepẽãhã	moze pẽ ãhã
zawaro	zawa ro
naniãhã	nani ãhã
okoaraõwã	o koar aõwã
dati	da ti
ɨwɨkʷarapope	ɨwɨ kʷar apope
ipopewar	ipo pe war
ɨɲawite	ɨɲa wi te
omomokoɲanam	omomoko ɲa nam
nameʔeŋtari	name ʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	o ʔu o
atarawadʒ	a ta rawadʒ
amõkomabaʔekʷəranẽ	amõkomabaʔe kʷər anẽ
kobaitʃe	ko ba itʃe
nanenũwã	nan enũwã
edeãhãsa	e de ãhãsa
awapeto	awa pe to
idʒarɨdʒanam	idʒarɨ dʒa nam
oboapɨg	obo apɨg
opihiokar	o pihiokar
nõdemõgʷera	nõde mõgʷera
osiŋgar	o si ŋgar
ozarareiba	ozara reiba
ozekɨesago	o ze kɨesago
pedʒu	pe dʒu
sisukija	sisu kij a
zeakapɨreri	zeakapɨre ri
ozemĩnõtar	oze mĩnõ tar
sikãĩ	si kãĩ
areko	a reko
oʔaranawe	o ʔar anawe
wɨra	wɨ ra
so	so
baʔekʷərakom	baʔe kʷər akom
ijɨ	i jɨ
adʒumãʔẽ	a dʒu mãʔẽ
oʔuwo	o ʔu wo
wãĩwĩam	wãĩw ĩ am
opɨhɨpa	o pɨ hɨpa
mama	ma m a
manãkuwapa	ma nã kuwapa
omeʔeŋ	ome ʔeŋ
ibaridʒa	ibari dʒa
okidʒerehe	okidʒe rehe
opopor	o po por
owag	o wa g
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	owe dʒu
owawag	owa wa g
dewɨrakotɨ	dewɨra kotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa ro wər
sikãĩwe	si kãĩ we
nõdeawuawekuwaenam	nõde awu awekuwaenam
ohoɲ	o ho ɲ
kɨto	kɨto
sizika	si zika
omãʔẽo	o mãʔẽ o
zawar	zawa r
ɨɲ	ɨ ɲ
oirur	o iru r
12zaɨãhã	12za ɨ ãhã
kõʔem	kõʔe m
ereɲ	e re ɲ
okuʔeŋ	oku ʔeŋ
roger	ro ger
mun	mun
omõgerokar	omõ ger okar
baripa	bari pa
mamenasinã	mamenasi nã
erezor	ere zo r
arowarowagamãʔẽkom	arowarowa g amãʔẽkom
oker	o ker
adʒutar	a dʒu tar
matɨ	ma tɨ
ipopenẽ	ipo pe nẽ
ozepir	oze pir
ozepɨhɨg	oze p ɨhɨg
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	peze boai tesipo
turehewe	tu rehe we
aŋeʔe	a ŋ eʔe
aʔenawe	a ʔenawe
edeãhã	e de ãhã
enã	e nã
apamawi	apama wi
tokerako	to ker ako
zabaʔeokar	za baʔe okar
channel	channel
kobazepe	kobaze pe
eʔinẽɨwər	e ʔi nẽɨwər
ozepotaroŋ	oze po taroŋ
ebaridʒa	ebari dʒa
dimani	d imani
okuwapɨlɨ	oku wa pɨlɨ
urupehem	uru pe hem
akaŋ	akaŋ
ãhãsa	ãhã sa
omẽbɨr	o mẽ bɨr
omõderehe	omõ de rehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	oronekaraku ri õwãnam
abaʔepotɨr	a baʔe potɨr
camopipori	camopi pori
derehe	de rehe
omanõmãʔẽ	omanõ mãʔẽ
kupao	kupa o
ikarug	i karug
pɨhɨka	pɨ hɨka
ibaʔewar	i baʔe war
ekerakoɲ	e ker akoɲ
zawaram	zawa r am
edɨ	e d ɨ
etarawadʒ	e ta rawadʒ
kupanam	kupa nam
mokoɲoŋ	moko ɲ oŋ
zozikahar	zo zika har
karaam	ka ra am
kobara	kob ara
nõdurtari	nõ dur tari
ereikɨdʒanũwã	ereikɨ dʒa nũwã
tɨãkã	tɨ ãkã
oboʔi	obo ʔi
oeroker	oero ker
orɨorɨo	orɨorɨo
wɨraʔauhu	wɨra ʔa uhu
oʔurtaroŋ	o ʔur taroŋ
kujã	kuj ã
abaʔe	a baʔe
bokalape	bokala pe
ozikapaŋ	o zika paŋ
kasuru	kasu ru
onanmãʔẽate	o nan mãʔẽate
toroʔu	toro ʔu
kunumi	kunu mi
tosiamnẽ	to si amnẽ
zawa	za wa
iwoʔi	i woʔi
nõdeɨane	nõde ɨa ne
ozewɨkaŋ	oze wɨ kaŋ
wãĩwĩ	wãĩw ĩ
urupehemam	uru pe hemam
baʔekʷər	baʔe kʷər
mɨdɨdʒunam	mɨdɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	za idu katukom
sibaʔetar	si baʔe tar
kir	ki r
dazaugpadʒi	da zaug padʒi
polo	po lo
zawararaʔɨr	zawa ra raʔɨr
omõwaɲ	omõ wa ɲ
opaʔawo	o paʔ awo
poromokonamãʔẽate	poromokona mãʔẽ ate
apamabaʔepeãhã	apamabaʔe pe ãhã
erezika	ere zika
ebɨʔaramoŋnõwã	ebɨ ʔar amoŋnõwã
bodʒ	bodʒ
mɨnawe	mɨ na we
amewar	a me war
zadʒapɨakanam	zadʒapɨak a nam
ozeʔupakaroŋ	oze ʔu pakaroŋ
amõkom	amõ kom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒu riba
aʔu	a ʔu
azenamiahaokar	aze nam iahaokar
izeburupanũwã	i zeburupanũwã
akuwapakatu	aku wa pakatu
kobãhã	kob ãhã
nebʃa	nebʃ a
owataŋ	owa ta ŋ
seredʒuɲ	sere dʒu ɲ
zaidu	za idu
opoʔo	opo ʔo
nõderɨruũwã	nõde rɨru ũwã
