erezaugtanẽpo	ere zaug tanẽpo
opukudʒ	opuku dʒ
səsəwe	sə sə we
oɨrɨru	oɨ rɨru
dekaraɨdʒi	de karaɨ dʒi
ipuruʔa	i puru ʔa
tatapewan	tata pe wan
orozopodʒ	o ro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔoʔog awĩ
sikuwakatu	si kuwa katu
oɨrumõde	o ɨrumõde
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷaraɨ reherako
mananãhãto	ma nan ãhã to
oket	o ket
erepotanẽso	ere pot a nẽ so
esisiganũwã	e sisiga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe ekar iɲ
dʒu	dʒu
ɨrukom	ɨru kom
ozopodʒo	o zopodʒ o
patupope	pa tu pope
oapar	o apa r
tazaram	ta zar am
surug	suru g
arakapusauhu	araka pusa uhu
akaʔanũpã	akaʔa nũpã
masakaraenam	ma sakara enam
opoʔoʔe	o poʔo ʔe
debaʔewaraso	debaʔewara so
tede	tede
taowe	ta o we
imaniaɨ	i mani aɨ
pebaridʒateso	pe baridʒa te so
mokoɲtaroŋ	mokoɲ tar oŋ
urukureʔa	urukure ʔa
ezeburupa	e zeburupa
mame	ma me
maiream	ma ire am
ozeka	oze ka
iɲuʔaŋ	i ɲuʔaŋ
ka	ka
aŋ	a ŋ
epotaroŋ	e potar oŋ
kob	kob
owa	o wa
masogotɨ	ma so gotɨ
aiɲuŋ	a iɲuŋ
kʷər	kʷər
takuruʔar	takuru ʔar
apɨdʒakotɨ	apɨdʒ a kotɨ
deleiba	deleiba
didʒamãʔẽaɨdʒi	di dʒamãʔẽaɨ dʒi
nõdemõdokaroŋ	nõde mõd okar oŋ
nõdepe	nõde pe
otuitʃẽ	otui tʃẽ
baipurirɨepopenẽ	baipuri rɨe pope nẽ
iwɨrakotɨʔe	i wɨra kotɨ ʔe
ozewapihipihiŋ	oze wapihipihi ŋ
wɨraʔazozoga	wɨraʔa zozoga
anamiaha	a namiaha
imenoŋ	i men oŋ
obowɨg	obo wɨg
owur	o wur
apɨhɨg	a pɨhɨg
oɨruanẽʔe	o ɨru anẽ ʔe
siʔu	si ʔu
pananarebeʔɨb	panana rebe ʔɨb
zaɨr	za ɨ r
eredʒu	e redʒu
kɨtorehe	kɨto rehe
debaʔewarapo	debaʔewara po
penedu	pene du
iwɨrakotɨ	i wɨra kotɨ
dokusugi	do kusug i
mokoɲ	mokoɲ
tekeʔɨrãhã	tekeʔɨr ãhã
idʒepaila	idʒe paila
omõbakatu	o mõba katu
ikerape	i ker ape
ezozopodʒ	e zo zopodʒ
kʷi	kʷi
osisigarehe	o sisiga rehe
poromõmaʔam	poro mõmaʔ am
omãʔẽõwã	o mãʔẽ õwã
orekʷarmeʔeŋoŋ	orekʷar meʔeŋ oŋ
oiɲuŋtaroŋ	o iɲuŋ tar oŋ
ahẽ	ahẽ
okẽhemʔog	o kẽhem ʔog
erezikanẽ	ere zika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	e moze mohun
tekoũwã	teko ũwã
urukureʔawi	urukure ʔa wi
obosale	obo sale
aho	a ho
omumuɲõ	o mumuɲ õ
anami	a nam i
panaĩsĩ	panaĩsĩ
omokaʔẽpa	omo kaʔẽ pa
nan	nan
nanãhãte	nan ãhã te
toporahadʒ	t oporahadʒ
erepotar	ere potar
tʃẽ	tʃẽ
oekar	o ekar
səwe	sə we
izonaɲapɨrɨ	i zonaɲ a pɨrɨ
cayenneawinẽ	ca yenneawi nẽ
okaʔar	o ka ʔar
lekolazarakom	leko lazar akom
awata	a wata
sautu	sa utu
ewinẽ	e wi nẽ
bal	ba l
françoise	françoise
zoaʔɨrape	zo aʔɨr ape
maŋ	ma ŋ
baʔepe	baʔepe
dekuɲaɲi	de kuɲa ɲi
dozemõdɨʔariŋ	do zemõdɨʔar i ŋ
eraho	eraho
matɨwara	ma tɨwa ra
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	da warimãʔẽ enam
obotukukokat	obo tukuk okat
oʔao	o ʔa o
waita	wai ta
õhem	õ hem
omõbagatu	o mõba gatu
eremenõɲ	ere menõ ɲ
porowar	poro war
ʔɨpope	ʔɨ pope
ozoʔog	o zo ʔog
troissautskotɨ	t roissauts kotɨ
apɨdʒate	apɨdʒ ate
piɲaŋi	piɲ a ŋ i
orɨru	o rɨru
onan	o nan
zaɨraʔɨrate	zaɨ raʔɨr ate
aʔete	aʔe te
izonaɲ	i zonaɲ
tekorehe	teko rehe
ikiʔɨ	i ki ʔɨ
erepokogtar	ere pokog tar
orohotaruwe	oro hotar u we
pemõbeʔu	pe mõbeʔu
esago	esago
kijapope	kija pope
naonan	naonan
idʒeate	idʒe ate
pitakomape	pitakom ape
apamanẽ	apama nẽ
eremozaugokar	ere mo zaug okar
kʷienam	kʷi enam
adudʒa	a du dʒa
idʒakaŋaʔar	i dʒaka ŋ a ʔar
okaoka	o kaoka
oimiʔũ	o imiʔũ
disidʒapɨakadʒi	disi dʒapɨak a dʒi
emen	e men
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	karai rupi
omeʔeŋgatu	o meʔeŋ gatu
obobaʔewatokat	obo baʔewat okat
onaŋ	o na ŋ
toroike	to roike
epe	e pe
mananeto	ma nane to
otuio	otui o
emõdur	e mõdur
ikeʔɨ	ike ʔɨ
erepotarnẽso	ere potar nẽ so
kobpakatu	kob pakatu
tou	to u
kʷienã	kʷi enã
omõdo	o mõd o
tekoawu	teko awu
amumuɲ	a mumuɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨr aʔepɨhɨga m
operoperog	o perope rog
taraɲeahẽ	taraɲe ahẽ
zoɨpɨrehe	zoɨpɨ rehe
wɨtʃɨnũwãso	wɨtʃɨ nũwã so
eʔiʔe	e ʔi ʔe
wɨrakarakotɨnuwã	wɨrakara kotɨ nuwã
akaʔutariɲ	a kaʔu tar iɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõgaʔu okar
tekorapɨdʒate	teko rapɨdʒ ate
epaila	e paila
mokoɲamãʔẽkom	mokoɲ amãʔẽkom
iʔareʔe	i ʔar eʔe
siparam	sipar am
tekokomãhã	teko kom ãhã
ijɨkom	ijɨ kom
aʔɨrate	aʔɨr ate
ede	e de
kowioʔu	ko wi oʔu
wɨtʃɨnẽ	wɨtʃɨ nẽ
opokadʒaitʃe	o pokadʒa itʃe
oʔa	o ʔa
zar	zar
meʔeŋoŋ	meʔeŋ oŋ
sa	sa
emebɨr	e mebɨr
oropõʔãeta	o ropõʔãeta
bedʒu	be dʒu
ʒãdamam	ʒãd am am
apamabaʔekʷərakom	apama baʔekʷər akom
rehete	rehe te
imodamãʔẽkom	i mod amãʔẽkom
aroʔa	a roʔa
oiɲuŋtaro	o iɲuŋ tar o
sisu	si su
takuru	takuru
emenatesipo	e men ate sipo
pukutʃa	pukutʃ a
azikakom	a zika kom
nõdepedʒu	nõde pe dʒu
tupa	tu pa
diawutari	di awu tari
eru	e ru
pariamoŋ	pari amoŋ
abɨr	a bɨr
tekoate	teko ate
deraɨhɨpadʒi	de raɨhɨpa dʒi
maire	ma ire
azenami	a zenam i
eʔu	e ʔu
wir	wir
wɨtɨrarehe	wɨtɨr arehe
ozewɨro	oze wɨr o
oesiruwanẽ	o esiruwa nẽ
kudʒaburuam	kudʒaburu am
anũpã	a nũpã
oromozonaɲokar	oromo zonaɲ okar
derapɨdʒnane	de rapɨdʒ nane
peitʃɨitʃɨg	pe itʃɨitʃɨg
tekeʔɨr	tekeʔɨr
ɨŋa	ɨ ŋ a
aʔebarehete	aʔe b arehe te
oiɲuŋ	o iɲuŋ
dabaʔepatari	da baʔe pa tari
ozepɨhɨgo	oze pɨhɨg o
nomãʔẽtaraɨdʒimãʔẽte	no mãʔẽtaraɨ dʒi mãʔẽ te
etaokar	e ta okar
dezarakom	de zar akom
idʒupe	idʒu pe
sujeranõãtʃã	suj eranõãtʃ ã
aʔenũwãso	aʔe nũwã so
pedʒapɨakaõwã	pe dʒapɨak aõwã
purerureka	pureru reka
sisigakomarehe	sisiga kom arehe
taraɲe	taraɲe
domanõɲi	do manõ ɲi
obodzauk	obo dzauk
arakapusawe	araka pusa we
poropɨhɨg	poro pɨhɨg
tukugi	tukug i
erehe	e rehe
okẽ	okẽ
aʔɨraterehe	aʔɨr ate rehe
munuʔaŋanate	munuʔaŋan ate
apɨka	a pɨ ka
ebaʔewar	e baʔe war
karaikom	karai kom
nõdebaʔekʷərawe	nõde baʔekʷər awe
kʷaraɨpope	kʷaraɨ pope
ezozopodʒiɲ	e zo zopodʒ iɲ
ozebaradʒ	oze baradʒ
ãhãso	ãhã so
aipo	aipo
kupaɲ	kupa ɲ
rapɨdʒate	rapɨdʒ ate
eʔi	e ʔi
omõgaʔupa	omõgaʔu pa
aʔɨta	a ʔɨ ta
tekokom	teko kom
wãĩwã	wãĩ wã
kudʒatãĩkɨr	kudʒatã ĩkɨr
ãhã	ãhã
erapɨdʒtar	e rapɨdʒ tar
lekolazarate	leko lazar ate
otuirupiwe	otui rupi we
zawarakomarehe	zawar akom arehe
eawutar	e awu tar
ãtɨ	ãtɨ
pezika	pe zika
daepɨdʒiaʔu	da epɨ dʒi aʔu
ʔar	ʔar
aʔebaʔekʷər	aʔe baʔekʷər
amonam	a monam
opoʔãpope	o poʔã pope
oeraokompa	o era o kom pa
tamãʔẽ	ta mãʔẽ
amãʔẽnẽ	a mãʔẽ nẽ
seikokom	se iko kom
itukug	i tukug
idʒar	i dʒa r
toti	to ti
oʔurtar	oʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe pope dʒi
defreãhã	de freãhã
epɨbɨrɨ	e pɨbɨrɨ
omõduroŋ	o mõdur oŋ
oipir	o i pi r
uruwi	uru wi
ʔɨb	ʔɨb
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨg tar eʔe
zozikaa	zo zika a
ikemɨn	ikemɨn
ikɨwɨrakom	ikɨ wɨra kom
diakaŋi	di akaŋ i
orohotar	oro ho tar
siʔe	si ʔe
atarawadʒiɲ	a tarawa dʒi ɲ
sidʒaonẽ	sidʒao nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔã n oŋ
zadʒapɨaka	za dʒapɨak a
oʔoramte	o ʔoram te
omẽbɨro	o mẽbɨr o
omõgʷeraharanẽ	o mõgʷera har anẽ
munam	mun am
oakaŋ	o akaŋ
tab	ta b
baʔesipo	baʔe sipo
eibaŋ	e iba ŋ
lekolape	leko lape
otuiʔe	otui ʔe
tereraho	tereraho
kawi	ka wi
iboteaweʔe	i bote awe ʔe
eɲuwanamenũwã	eɲuwana men ũwã
ikijamaʔẽ	i kija maʔẽ
oiɲuŋoŋ	o iɲuŋ oŋ
pepazenam	pe paze nam
maŋato	ma ŋa to
kededʒu	kede dʒu
wɨɲate	wɨɲa te
aʔekɨto	aʔe kɨto
rupawəra	rupawəra
aʔe	aʔe
oerokʷa	oero kʷa
apoʔãetaokar	a poʔã eta okar
baʔeraʔɨrapɨhɨka	baʔeraʔɨr a pɨhɨka
onenaŋoŋ	o nena ŋ oŋ
ʔarape	ʔar ape
deroʔoram	dero ʔoram
ɨwɨʔar	ɨwɨ ʔar
imani	i mani
sinan	si nan
terehotar	tere ho tar
datɨpɨdʒi	da tɨpɨ dʒi
apamabaʔekʷər	apama baʔekʷər
oweroporahadʒpa	ower oporahadʒ pa
amanaraʔɨrate	amanaraʔɨra te
okadʒ	o ka dʒ
wɨtʃɨkuwa	wɨtʃɨ kuwa
okarabɨtebarupi	okarabɨteb a rupi
kayenape	ka yen ape
dosuʔutari	do suʔu tari
edʒɨwe	e dʒɨ we
am	am
sidʒu	si dʒu
kʷarapope	kʷara pope
mozepẽ	mozepẽ
ewedʒu	e wedʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨ anam
owatamaʔẽ	o wata maʔẽ
tukukimaʔẽ	tukuk i maʔẽ
zawarenam	zawar enam
aʔekom	aʔe kom
napiarehe	na pi arehe
orepe	o repe
zarakom	zar akom
õwem	õwe m
osuʔu	o suʔu
idʒeanẽ	idʒe a nẽ
zarenũwã	za re nũwã
aʔekomãhã	aʔe kom ãhã
edeatesipo	e de ate sipo
wanegatukuwa	wane gatu kuwa
otuiŋ	otui ŋ
pe	pe
pezezika	peze zika
ozikakom	o zika kom
ozaug	o zaug
siŋi	si ŋ i
opa	o pa
nõdebaʔekʷərarehete	nõde baʔekʷər arehe te
pekariɲ	pe kari ɲ
enam	e nam
obaʔe	o baʔe
tekokomarehe	teko kom arehe
epɨ	e pɨ
tapoʔo	ta poʔo
lapotarupi	l apota rupi
ekotɨŋ	e kotɨ ŋ
otuitaro	otui tar o
otuipamãʔẽ	otui pa mãʔẽ
zazemõapampa	za zemõapam pa
ozaramoŋ	o zar amoŋ
zapu	za pu
tukuk	tukuk
tapiʔir	ta piʔir
arehete	a rehe te
okakuwa	o ka kuwa
idʒupekupamãʔẽ	idʒu pekupamãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	to kɨr
aŋawi	a ŋa wi
aiɲuŋokatar	a iɲuŋ o ka tar
ijɨrehewe	ijɨrehe we
tapɨdʒam	tapɨdʒa m
eraha	e raha
piramãʔẽ	pira mãʔẽ
pazaru	pa zar u
azor	a zo r
awakʷəraraʔɨr	awa kʷəra raʔɨr
zeʔoram	ze ʔoram
okijapope	o kija pope
depeidudʒi	de pe idu dʒi
nõdezarakotɨ	nõde zar a kotɨ
omõgaguaŋ	o mõgagua ŋ
opirog	o pi rog
owɨr	o wɨr
aʔuwe	a ʔu we
eakãnũpã	eakã nũpã
inamɨɲ	i namɨɲ
amanaraʔɨraterehe	amanaraʔɨra te rehe
oweta	o we ta
kede	kede
wanemãʔẽ	wane mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	dera ɨhɨ dʒi
sikuwa	si kuwa
emõdurawĩ	e mõdur awĩ
ozezikaŋ	oze zika ŋ
parceque	pa rceque
porowaratewe	poro war ate we
desuʔu	de suʔu
zapusĩ	za pu sĩ
oʔoram	o ʔoram
aipoate	aipo ate
tapɨdʒapope	tapɨdʒa pope
nõderaʔɨrakomateenam	nõde raʔɨr akom ate enam
pedehe	ped ehe
izazape	izazape
wiroate	wir o ate
daʔudʒi	da ʔu dʒi
kobtarpɨrɨ	kob tar pɨrɨ
oɨkɨdʒ	o ɨkɨ dʒ
apam	apam
omãʔẽ	o mãʔẽ
oeraho	o eraho
idʒuwiŋ	idʒu wi ŋ
ãtɨte	ãtɨ te
idʒupekupamãʔẽpuri	idʒu pekupamãʔẽ puri
zemenõ	ze menõ
doʔudʒi	do ʔu dʒi
səmãʔẽʔar	sə mãʔẽʔar
erapararaha	e ra pararaha
aku	a ku
iɲuʔaŋoŋ	i ɲuʔaŋ oŋ
ozezeka	oze zeka
moɲi	mo ɲi
okarabɨteb	okarabɨteb
zawaraenam	zawar a enam
idʒeãhã	idʒe ãhã
iwaɲe	i waɲe
perabkatu	pe rab katu
wɨrakaranũwãʔe	wɨrakara nũwã ʔe
ikemɨnanam	ikemɨn anam
awurtar	a wur tar
orekʷarape	o rekʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔe har
teko	teko
wãĩwĩenam	wãĩwĩ enam
oiruo	o iru o
ɨat	ɨat
kudʒatãĩkɨrakom	kudʒatã ĩkɨr akom
napiararehe	napiar arehe
owata	o wata
pedapɨdʒ	ped apɨdʒ
dadʒaʔodʒiɲ	da dʒaʔo dʒi ɲ
ɨɲtʃɨwi	ɨɲtʃɨ wi
emẽbɨriɲ	e mẽbɨr iɲ
imen	i men
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	o kusug
okero	o ker o
zaiko	za iko
maziʔogape	ma ziʔog ape
idʒe	idʒe
ozemokasinẽ	oze mo kasinẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	oʔur amãʔẽkom
wɨraʔa	wɨra ʔa
nanipamẽ	nani pamẽ
to	to
dorokuwadʒi	do ro kuwa dʒi
apamaʔe	apama ʔe
takuruʔaranẽ	takuru ʔar anẽ
baʔewi	baʔe wi
aerahoraho	a eraho raho
rebe	rebe
otuiomãʔẽrehe	otui o mãʔẽ rehe
aiɲuŋokartar	a iɲuŋ okar tar
irupi	i rupi
zawapinimaʔar	za wapinima ʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	naonan pɨrɨ nẽ
obotukuk	obo tukuk
kor	ko r
koenam	ko enam
oiɲuŋbanam	o iɲuŋ banam
okuar	o kuar
ibaʔewato	i baʔewat o
zeporikatu	ze pori katu
urupẽhem	urupẽ hem
dezeburupa	de zeburupa
osapatokom	o sapato kom
ozebaradʒo	oze baradʒ o
oweraho	o we raho
bodʒuhukom	bodʒuhu kom
ikotɨɲ	i kotɨ ɲ
oeta	o eta
taʔaŋarehe	ta ʔaŋ arehe
omanõ	o manõ
paila	paila
siparate	sipar ate
apoʔã	a poʔã
okɨrɨg	o kɨr ɨg
ibaʔeraɨ	i baʔeraɨ
pitaŋkomape	pitaŋ kom ape
owɨb	o wɨb
pamẽitʃe	pamẽ itʃe
meneɲõkom	me neɲõ kom
datisikədʒi	dati sikə dʒi
kotɨŋ	kotɨ ŋ
aʔeate	aʔe ate
karakuri	karakuri
raikʷara	rai kʷara
ɨaramãʔẽharakomape	ɨar amãʔẽ har akom ape
hem	hem
bapɨr	ba pɨ r
dʒaiwərate	dʒa iwər ate
munuʔaŋanamte	munuʔaŋan am te
demebɨri	de mebɨr i
imõbo	i mõbo
owɨkɨrog	o wɨkɨ rog
tatabodʒ	tata bo dʒ
dikaruginam	di karug i nam
omozezopodʒ	o moze zopodʒ
karugapopewe	karug a pope we
dʒuribaweʔe	dʒur iba we ʔe
okɨr	o kɨr
okidʒewerehe	o kidʒe we rehe
pezebuʔuaiɲ	peze buʔua iɲ
demeni	de men i
takuruũwĩ	takuru ũwĩ
dapotari	da potar i
nipẽam	nipẽ am
oronekomuwe	orone kom uwe
dozaugi	do zaug i
epewaramte	e pe war am te
pirarehe	pira rehe
paku	pa ku
zeʔar	ze ʔar
iʔar	i ʔar
lekolazar	leko lazar
zowomaʔẽkom	zo wo maʔẽ kom
otuitar	otui tar
kuʔidʒi	ku ʔi dʒi
dozaʔogiŋ	do zaʔog i ŋ
pira	pira
watekotɨwarakom	wate kotɨ war akom
naninam	nani nam
kõʔemirehe	kõʔem i rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunumi zeburupa
okaʔu	o kaʔu
osuʔupa	o suʔu pa
jawara	jawa ra
oiba	o iba
esuʔu	e suʔu
omãʔẽmãʔẽ	o mãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõde kom
pebaridʒaso	pe baridʒa so
opɨhɨgoŋ	o pɨhɨg o ŋ
peneɨar	pene ɨar
zeʔari	ze ʔar i
ɨar	ɨar
dawarimãʔẽ	da warimãʔẽ
oʔupakatu	o ʔu pakatu
zoɨpɨ	zoɨpɨ
deru	de ru
tawadʒi	tawa dʒi
awakʷərarehe	awa kʷəra rehe
daorɨdʒi	da orɨ dʒi
ohoʔe	o ho ʔe
mozepẽãhã	mozepẽ ãhã
zawaro	zawar o
naniãhã	nani ãhã
okoaraõwã	o koar a õwã
dati	dati
ɨwɨkʷarapope	ɨwɨ kʷara pope
ipopewar	ipope war
ɨɲawite	ɨɲawi te
omomokoɲanam	omo mokoɲ anam
nameʔeŋtari	na meʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	o ʔu o
atarawadʒ	a tarawa dʒ
amõkomabaʔekʷəranẽ	amõkom a baʔekʷər anẽ
kobaitʃe	koba itʃe
nanenũwã	nane nũwã
edeãhãsa	ede ãhãsa
awapeto	awa pe to
idʒarɨdʒanam	i dʒarɨdʒa nam
oboapɨg	obo apɨg
opihiokar	o pihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	o si ŋgar
ozarareiba	o zarareiba
ozekɨesago	oze kɨesago
pedʒu	pe dʒu
sisukija	sisu kija
zeakapɨreri	ze akapɨreri
ozemĩnõtar	oze mĩnõ tar
sikãĩ	sikãĩ
areko	a reko
oʔaranawe	o ʔar a nawe
wɨra	wɨra
so	so
baʔekʷərakom	baʔekʷər akom
ijɨ	ijɨ
adʒumãʔẽ	a dʒu mãʔẽ
oʔuwo	o ʔu wo
wãĩwĩam	wãĩwĩ am
opɨhɨpa	o pɨhɨpa
mama	ma ma
manãkuwapa	ma nã kuwa pa
omeʔeŋ	o meʔeŋ
ibaridʒa	i baridʒa
okidʒerehe	o kidʒe rehe
opopor	o popor
owag	o wag
reheʔe	reheʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	o wedʒu
owawag	o wa wag
dewɨrakotɨ	de wɨra kotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa rowər
sikãĩwe	sikãĩ we
nõdeawuawekuwaenam	nõde awu awe kuwa enam
ohoɲ	o ho ɲ
kɨto	kɨto
sizika	si zika
omãʔẽo	o mãʔẽo
zawar	zawar
ɨɲ	ɨɲ
oirur	o iru r
12zaɨãhã	12 zaɨ ãhã
kõʔem	kõʔem
ereɲ	ere ɲ
okuʔeŋ	o ku ʔe ŋ
roger	ro ger
mun	mun
omõgerokar	o mõ ger okar
baripa	b ari pa
mamenasinã	ma men asinã
erezor	ere zo r
arowarowagamãʔẽkom	arowa ro wag amãʔẽkom
oker	o ker
adʒutar	a dʒu tar
matɨ	ma tɨ
ipopenẽ	ipope nẽ
ozepir	o zepir
ozepɨhɨg	oze pɨhɨg
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	peze boaite sipo
turehewe	tu rehe we
aŋeʔe	a ŋ eʔe
aʔenawe	aʔe nawe
edeãhã	e de ãhã
enã	e nã
apamawi	apama wi
tokerako	to kerako
zabaʔeokar	za baʔe okar
channel	channel
kobazepe	koba zepe
eʔinẽɨwər	e ʔi nẽ ɨwər
ozepotaroŋ	oze potar oŋ
ebaridʒa	e baridʒa
dimani	di mani
okuwapɨlɨ	o kuwa pɨlɨ
urupehem	urupe hem
akaŋ	akaŋ
ãhãsa	ãhãsa
omẽbɨr	o mẽbɨr
omõderehe	o mõde rehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	orone karakuri õwã nam
abaʔepotɨr	a baʔe potɨr
camopipori	camopi pori
derehe	de rehe
omanõmãʔẽ	o manõ mãʔẽ
kupao	kupa o
ikarug	i karug
pɨhɨka	pɨhɨka
ibaʔewar	iba ʔe war
ekerakoɲ	e kerako ɲ
zawaram	zawar am
edɨ	e dɨ
etarawadʒ	e tarawa dʒ
kupanam	kupa nam
mokoɲoŋ	mokoɲ oŋ
zozikahar	zo zika har
karaam	kara am
kobara	koba ra
nõdurtari	nõdu r tari
ereikɨdʒanũwã	ere ikɨ dʒa nũwã
tɨãkã	tɨ ãkã
oboʔi	obo ʔi
oeroker	oero ker
orɨorɨo	orɨorɨ o
wɨraʔauhu	wɨraʔa uhu
oʔurtaroŋ	oʔur tar oŋ
kujã	ku jã
abaʔe	a baʔe
bokalape	boka lape
ozikapaŋ	o zika pa ŋ
kasuru	ka suru
onanmãʔẽate	o nanmãʔẽ ate
toroʔu	toro ʔu
kunumi	kunumi
tosiamnẽ	to si am nẽ
zawa	za wa
iwoʔi	i wo ʔi
nõdeɨane	nõde ɨane
ozewɨkaŋ	oze wɨka ŋ
wãĩwĩ	wãĩwĩ
urupehemam	urupe hem am
baʔekʷər	baʔekʷər
mɨdɨdʒunam	mɨdɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	za idu katu kom
sibaʔetar	si baʔe tar
kir	ki r
dazaugpadʒi	da zaug pa dʒi
polo	pol o
zawararaʔɨr	zawar a raʔɨr
omõwaɲ	o mõwa ɲ
opaʔawo	o paʔa wo
poromokonamãʔẽate	poro mokon amãʔẽ ate
apamabaʔepeãhã	apama baʔepe ãhã
erezika	ere zika
ebɨʔaramoŋnõwã	e bɨ ʔar amoŋ nõwã
bodʒ	bo dʒ
mɨnawe	mɨ nawe
amewar	a me war
zadʒapɨakanam	za dʒapɨak anam
ozeʔupakaroŋ	oze ʔu pakar oŋ
amõkom	a mõ kom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒur iba
aʔu	aʔu
azenamiahaokar	aze namiaha okar
izeburupanũwã	i zeburupa nũwã
akuwapakatu	a kuwa pakatu
kobãhã	kob ãhã
nebʃa	neb ʃa
owataŋ	o wata ŋ
seredʒuɲ	se redʒu ɲ
zaidu	za idu
opoʔo	o poʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	no idu dʒi so
sidʒaorehe	sidʒao rehe
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨr aʔepɨhɨga
matɨsipo	ma tɨ sipo
erepotaneso	ere potane so
ikotɨ	i kotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	ipope
