erezaugtanẽpo	erezaug tanẽ po
səsəwe	sə səwe
oɨrɨru	oɨ rɨru
dekaraɨdʒi	de karaɨ dʒi
ipuruʔa	i puruʔa
tatapewan	ta ta p e wa n
orozopodʒ	oro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔo ʔog awĩ
sikuwakatu	si kuwa katu
oɨrumõde	o ɨrumõ de
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷaraɨ reherako
mananãhãto	ma nanãhã to
oket	ok e t
erepotanẽso	erepota nẽso
esisiganũwã	e sisiga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe e kariɲ
dʒu	dʒu
ɨrukom	ɨrukom
ozopodʒo	o zopodʒ o
patupope	pa tupope
oapar	o a par
tazaram	ta zar am
surug	suru g
arakapusauhu	arakapusa uhu
akaʔanũpã	akaʔa nũpã
masakaraenam	masakara enam
opoʔoʔe	o poʔo ʔe
debaʔewaraso	de baʔe wara so
tede	te de
taowe	ta owe
imaniaɨ	imani aɨ
pebaridʒateso	pebaridʒa te so
mokoɲtaroŋ	mokoɲ taroŋ
urukureʔa	urukureʔa
ezeburupa	e zeburupa
mame	ma m e
maiream	maire am
ozeka	oze ka
iɲuʔaŋ	iɲuʔaŋ
ka	ka
aŋ	aŋ
epotaroŋ	e po taroŋ
kob	kob
owa	owa
masogotɨ	ma so gotɨ
aiɲuŋ	aiɲuŋ
kʷər	kʷər
takuruʔar	takuru ʔar
apɨdʒakotɨ	apɨdʒ akotɨ
deleiba	de leiba
didʒamãʔẽaɨdʒi	didʒamãʔẽaɨ dʒi
nõdemõdokaroŋ	nõde mõdo karoŋ
nõdepe	nõde pe
otuitʃẽ	otui tʃẽ
baipurirɨepopenẽ	baipuri rɨ e pope nẽ
iwɨrakotɨʔe	i wɨrakotɨ ʔe
ozewapihipihiŋ	oze wa pihipihiŋ
wɨraʔazozoga	wɨraʔa zozoga
anamiaha	a namiaha
imenoŋ	imen oŋ
obowɨg	obo wɨg
owur	o wur
apɨhɨg	a pɨhɨg
oɨruanẽʔe	o ɨrua nẽ ʔe
siʔu	siʔu
pananarebeʔɨb	pa nana rebe ʔɨb
zaɨr	zaɨr
eredʒu	eredʒu
kɨtorehe	kɨto rehe
debaʔewarapo	de baʔe wara po
penedu	pene du
iwɨrakotɨ	i wɨrakotɨ
dokusugi	d okusug i
mokoɲ	mokoɲ
tekeʔɨrãhã	tekeʔɨr ãhã
idʒepaila	idʒe paila
omõbakatu	omõba katu
ikerape	ike r ape
ezozopodʒ	ezozopodʒ
kʷi	kʷi
osisigarehe	o sisiga rehe
poromõmaʔam	por omõ maʔam
omãʔẽõwã	omãʔẽ õwã
orekʷarmeʔeŋoŋ	orekʷar meʔeŋ oŋ
oiɲuŋtaroŋ	oiɲuŋ taroŋ
ahẽ	ahẽ
okẽhemʔog	okẽ hem ʔog
erezikanẽ	erezika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	e mo ze mohun
tekoũwã	teko ũwã
urukureʔawi	urukureʔa wi
obosale	o bo sale
aho	aho
omumuɲõ	o mumuɲõ
anami	anam i
panaĩsĩ	panaĩ sĩ
omokaʔẽpa	omo kaʔẽ pa
nan	nan
nanãhãte	nanãhã te
toporahadʒ	t oporahadʒ
erepotar	erepota r
tʃẽ	tʃẽ
oekar	oekar
səwe	səwe
izonaɲapɨrɨ	i zonaɲ a pɨrɨ
cayenneawinẽ	cayen ne awi nẽ
okaʔar	okaʔar
lekolazarakom	lekola zarakom
awata	awa ta
sautu	sau tu
ewinẽ	e wi nẽ
bal	ba l
françoise	françoise
zoaʔɨrape	zo a ʔɨ ra pe
maŋ	maŋ
baʔepe	baʔe pe
dekuɲaɲi	de kuɲa ɲi
dozemõdɨʔariŋ	dozemõdɨʔar iŋ
eraho	eraho
matɨwara	matɨ wara
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	da warimãʔẽ enam
obotukukokat	obo tukuk okat
oʔao	oʔa o
waita	wai ta
õhem	õ hem
omõbagatu	omõba gatu
eremenõɲ	eremenõ ɲ
porowar	poro war
ʔɨpope	ʔɨ pope
ozoʔog	o zo ʔog
troissautskotɨ	trois sau t s kotɨ
apɨdʒate	apɨdʒ ate
piɲaŋi	piɲ aŋ i
orɨru	o rɨru
onan	onan
zaɨraʔɨrate	zaɨr aʔɨrate
aʔete	aʔe te
izonaɲ	i zonaɲ
tekorehe	teko rehe
ikiʔɨ	ikiʔɨ
erepokogtar	ere po kog tar
orohotaruwe	oro hotar uwe
pemõbeʔu	pe mõb eʔu
esago	esago
kijapope	kijapope
naonan	na onan
idʒeate	idʒe ate
pitakomape	pitakom ape
apamanẽ	apama nẽ
eremozaugokar	ere mozaug okar
kʷienam	kʷi enam
adudʒa	adudʒa
idʒakaŋaʔar	idʒ akaŋ aʔar
okaoka	oka oka
oimiʔũ	oimiʔũ
disidʒapɨakadʒi	di si dʒapɨaka dʒi
emen	emen
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	karai rupi
omeʔeŋgatu	o meʔeŋ gatu
obobaʔewatokat	obo baʔe wa t okat
onaŋ	o naŋ
toroike	to ro ike
epe	e pe
mananeto	ma nane to
otuio	otui o
emõdur	emõdur
ikeʔɨ	ike ʔɨ
erepotarnẽso	erepota r nẽso
kobpakatu	kob pakatu
tou	tou
kʷienã	kʷi enã
omõdo	o mõdo
tekoawu	teko awu
amumuɲ	amumuɲ
baʔeraʔɨraʔepɨhɨgam	baʔe raʔɨr aʔe pɨhɨg am
operoperog	o pe ro pe rog
taraɲeahẽ	taraɲe ahẽ
zoɨpɨrehe	zoɨpɨ rehe
wɨtʃɨnũwãso	wɨtʃɨ nũwã so
eʔiʔe	eʔi ʔe
wɨrakarakotɨnuwã	wɨrakara kotɨnuwã
akaʔutariɲ	a kaʔu tar iɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõg aʔu okar
tekorapɨdʒate	teko rapɨdʒa te
epaila	e paila
mokoɲamãʔẽkom	mokoɲ amãʔẽkom
iʔareʔe	iʔar eʔe
siparam	si par am
tekokomãhã	teko komãhã
ijɨkom	ijɨ kom
aʔɨrate	aʔɨrate
ede	ede
kowioʔu	kowi oʔu
wɨtʃɨnẽ	wɨtʃɨ nẽ
opokadʒaitʃe	opo kadʒa itʃe
oʔa	oʔa
zar	zar
meʔeŋoŋ	meʔeŋ oŋ
sa	sa
emebɨr	e mebɨr
oropõʔãeta	oro põʔã e ta
bedʒu	bedʒu
ʒãdamam	ʒã damam
apamabaʔekʷərakom	apama baʔe kʷəra kom
rehete	rehete
imodamãʔẽkom	i mo d amãʔẽkom
aroʔa	aroʔa
oiɲuŋtaro	oiɲuŋ ta ro
sisu	si su
takuru	takuru
emenatesipo	emen ate sipo
pukutʃa	pukutʃ a
azikakom	a zika kom
nõdepedʒu	nõde pedʒu
tupa	tupa
diawutari	d iawu tari
eru	eru
pariamoŋ	pari amoŋ
abɨr	abɨr
tekoate	teko ate
deraɨhɨpadʒi	deraɨhɨpadʒi
maire	maire
azenami	aze nam i
eʔu	eʔu
wir	wir
wɨtɨrarehe	wɨtɨ rarehe
ozewɨro	ozewɨ ro
oesiruwanẽ	o esiruwa nẽ
kudʒaburuam	kudʒab uru am
anũpã	anũpã
oromozonaɲokar	oro mo zonaɲ okar
derapɨdʒnane	derapɨdʒ nane
peitʃɨitʃɨg	pe itʃɨ itʃɨ g
tekeʔɨr	tekeʔɨr
ɨŋa	ɨ ŋa
aʔebarehete	aʔe ba rehete
oiɲuŋ	oiɲuŋ
dabaʔepatari	da baʔe pa tari
ozepɨhɨgo	oze pɨhɨg o
nomãʔẽtaraɨdʒimãʔẽte	n o mãʔẽtaraɨdʒi mãʔẽ te
etaokar	etaokar
dezarakom	de zarakom
idʒupe	idʒupe
sujeranõãtʃã	su jeranõãtʃã
aʔenũwãso	aʔe nũwã so
pedʒapɨakaõwã	pe dʒapɨaka õwã
purerureka	pureru reka
sisigakomarehe	sisiga komarehe
taraɲe	taraɲe
domanõɲi	d omanõ ɲi
obodzauk	obo d za uk
arakapusawe	arakapusa we
poropɨhɨg	poro pɨhɨg
tukugi	tukug i
erehe	e rehe
okẽ	okẽ
aʔɨraterehe	aʔɨrate rehe
munuʔaŋanate	munuʔaŋ ana te
apɨka	apɨka
ebaʔewar	e baʔe war
karaikom	karai kom
nõdebaʔekʷərawe	nõde baʔe kʷəra we
kʷaraɨpope	kʷaraɨ pope
ezozopodʒiɲ	ezozopodʒ iɲ
ozebaradʒ	ozebaradʒ
ãhãso	ãhã so
aipo	aipo
kupaɲ	kupa ɲ
rapɨdʒate	rapɨdʒ ate
eʔi	eʔi
omõgaʔupa	omõg aʔu pa
aʔɨta	aʔɨ ta
tekokom	teko kom
wãĩwã	wãĩwã
kudʒatãĩkɨr	kudʒatãĩkɨr
ãhã	ãhã
erapɨdʒtar	e rapɨdʒ tar
lekolazarate	lekola zar ate
otuirupiwe	otui rupi we
zawarakomarehe	zawar a komarehe
eawutar	eawu tar
ãtɨ	ãtɨ
pezika	pe zika
daepɨdʒiaʔu	da epɨ dʒi aʔu
ʔar	ʔar
aʔebaʔekʷər	aʔe baʔe kʷər
amonam	a mo nam
opoʔãpope	o poʔãpope
oeraokompa	oer a o kom pa
tamãʔẽ	tamãʔẽ
amãʔẽnẽ	amãʔẽ nẽ
seikokom	seiko kom
itukug	i tukug
idʒar	idʒa r
toti	to ti
oʔurtar	oʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe pope dʒi
defreãhã	defr e ãhã
epɨbɨrɨ	epɨ bɨrɨ
omõduroŋ	o mõdu r oŋ
oipir	o i pir
uruwi	uru wi
ʔɨb	ʔɨb
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨg tar eʔe
zozikaa	zozika a
ikemɨn	ikemɨn
ikɨwɨrakom	ikɨ wɨra kom
diakaŋi	di akaŋ i
orohotar	oro hotar
siʔe	siʔe
atarawadʒiɲ	a tarawadʒ iɲ
sidʒaonẽ	sidʒao nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔã noŋ
zadʒapɨaka	za dʒapɨaka
oʔoramte	o ʔoram te
omẽbɨro	o mẽbɨr o
omõgʷeraharanẽ	o mõgʷera har a nẽ
munam	munam
oakaŋ	o akaŋ
tab	tab
baʔesipo	baʔe sipo
eibaŋ	eiba ŋ
lekolape	lekola pe
otuiʔe	otui ʔe
tereraho	tere raho
kawi	kawi
iboteaweʔe	i botea weʔe
eɲuwanamenũwã	eɲuwa nam e nũwã
ikijamaʔẽ	i kija maʔẽ
oiɲuŋoŋ	oiɲuŋ oŋ
pepazenam	pe paze nam
maŋato	maŋ a to
kededʒu	kede dʒu
wɨɲate	wɨɲa te
aʔekɨto	aʔe kɨto
rupawəra	r upawəra
aʔe	aʔe
oerokʷa	oer o kʷa
apoʔãetaokar	apoʔã etaokar
baʔeraʔɨrapɨhɨka	baʔe raʔɨr a pɨhɨ ka
onenaŋoŋ	o ne naŋ oŋ
ʔarape	ʔar ape
deroʔoram	de ro ʔoram
ɨwɨʔar	ɨwɨ ʔar
imani	imani
sinan	sinan
terehotar	tere hotar
datɨpɨdʒi	datɨpɨdʒi
apamabaʔekʷər	apama baʔe kʷər
oweroporahadʒpa	owe r oporahadʒ pa
amanaraʔɨrate	amanar aʔɨrate
okadʒ	oka dʒ
wɨtʃɨkuwa	wɨtʃɨ kuwa
okarabɨtebarupi	okarabɨteb a rupi
kayenape	ka yen ape
dosuʔutari	do suʔu tari
edʒɨwe	edʒɨ we
am	am
sidʒu	si dʒu
kʷarapope	kʷarapope
mozepẽ	mozepẽ
ewedʒu	e wedʒu
zamãʔẽ	zamãʔẽ
pɨanam	pɨanam
owatamaʔẽ	owata maʔẽ
tukukimaʔẽ	tukuk i maʔẽ
zawarenam	zawar enam
aʔekom	aʔe kom
napiarehe	napia rehe
orepe	o re pe
zarakom	zarakom
õwem	õwe m
osuʔu	o suʔu
idʒeanẽ	idʒe a nẽ
zarenũwã	zar e nũwã
aʔekomãhã	aʔe komãhã
edeatesipo	ede ate sipo
wanegatukuwa	wane gatu kuwa
otuiŋ	otui ŋ
pe	pe
pezezika	pe ze zika
ozikakom	ozika kom
ozaug	o zaug
siŋi	siŋi
opa	opa
nõdebaʔekʷərarehete	nõde baʔe kʷəra rehete
pekariɲ	pe kariɲ
enam	enam
obaʔe	o baʔe
tekokomarehe	teko komarehe
epɨ	epɨ
tapoʔo	ta poʔo
lapotarupi	lapota rupi
ekotɨŋ	e kotɨŋ
otuitaro	otui tar o
otuipamãʔẽ	otui pa mãʔẽ
zazemõapampa	zazemõ apam pa
ozaramoŋ	o zar amoŋ
zapu	zapu
tukuk	tukuk
tapiʔir	tapiʔir
arehete	a rehete
okakuwa	oka kuwa
idʒupekupamãʔẽ	idʒupe kupa mãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	t okɨr
aŋawi	aŋ awi
aiɲuŋokatar	aiɲuŋ oka tar
ijɨrehewe	ijɨ rehe we
tapɨdʒam	tapɨdʒa m
eraha	er aha
piramãʔẽ	pir amãʔẽ
pazaru	paza ru
azor	a zor
awakʷəraraʔɨr	awa kʷəra raʔɨr
zeʔoram	zeʔoram
okijapope	o kijapope
depeidudʒi	de pe idudʒi
nõdezarakotɨ	nõde zar akotɨ
omõgaguaŋ	omõg a gu aŋ
opirog	o pi rog
owɨr	o wɨr
aʔuwe	aʔu we
eakãnũpã	eakã nũpã
inamɨɲ	inam ɨɲ
amanaraʔɨraterehe	amanar aʔɨrate rehe
oweta	owe ta
kede	kede
wanemãʔẽ	wane mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	de raɨhɨdʒi
sikuwa	si kuwa
emõdurawĩ	emõdur awĩ
ozezikaŋ	oze zika ŋ
parceque	par ceque
porowaratewe	poro wara te we
desuʔu	de suʔu
zapusĩ	zapu sĩ
oʔoram	o ʔoram
aipoate	aipo ate
tapɨdʒapope	tapɨdʒa pope
nõderaʔɨrakomateenam	nõde raʔɨr akom ate enam
pedehe	pe d ehe
izazape	i za za pe
wiroate	wi ro ate
daʔudʒi	da ʔudʒi
kobtarpɨrɨ	kob tar pɨrɨ
oɨkɨdʒ	o ɨkɨdʒ
apam	apam
omãʔẽ	omãʔẽ
oeraho	o eraho
idʒuwiŋ	i dʒu wiŋ
ãtɨte	ãtɨ te
idʒupekupamãʔẽpuri	idʒupe kupa mãʔẽpuri
zemenõ	zemenõ
doʔudʒi	do ʔudʒi
səmãʔẽʔar	sə mãʔẽ ʔar
erapararaha	era pararaha
aku	aku
iɲuʔaŋoŋ	iɲuʔaŋ oŋ
ozezeka	ozezeka
moɲi	mo ɲi
okarabɨteb	okarabɨteb
zawaraenam	zawar a enam
idʒeãhã	idʒe ãhã
iwaɲe	i waɲe
perabkatu	pe ra b katu
wɨrakaranũwãʔe	wɨrakara nũwã ʔe
ikemɨnanam	ikemɨn anam
awurtar	awu r tar
orekʷarape	orekʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔe har
teko	teko
wãĩwĩenam	wãĩwĩ enam
oiruo	oiru o
ɨat	ɨat
kudʒatãĩkɨrakom	kudʒatãĩkɨr akom
napiararehe	napia rarehe
owata	owata
pedapɨdʒ	pe d apɨdʒ
dadʒaʔodʒiɲ	dadʒaʔodʒiɲ
ɨɲtʃɨwi	ɨɲ tʃɨwi
emẽbɨriɲ	e mẽbɨr iɲ
imen	imen
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	okusug
okero	oker o
zaiko	zaiko
maziʔogape	mazi ʔog ape
idʒe	idʒe
ozemokasinẽ	ozemokasi nẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	oʔur amãʔẽkom
wɨraʔa	wɨraʔa
nanipamẽ	nani pamẽ
to	to
dorokuwadʒi	d oro kuwa dʒi
apamaʔe	apama ʔe
takuruʔaranẽ	takuru ʔar a nẽ
baʔewi	baʔe wi
aerahoraho	a e raho raho
rebe	rebe
otuiomãʔẽrehe	otui omãʔẽ rehe
aiɲuŋokartar	aiɲuŋ okar tar
irupi	i rupi
zawapinimaʔar	za wapinimaʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	na onan pɨrɨ nẽ
obotukuk	obo tukuk
kor	kor
koenam	ko enam
oiɲuŋbanam	oiɲuŋ ba nam
okuar	o kuar
ibaʔewato	ibaʔe wa t o
zeporikatu	ze pori katu
urupẽhem	uru pẽhem
dezeburupa	de zeburupa
osapatokom	osapato kom
ozebaradʒo	ozebaradʒ o
oweraho	owe raho
bodʒuhukom	bodʒ uhu kom
ikotɨɲ	ikotɨ ɲ
oeta	o e ta
taʔaŋarehe	taʔaŋ arehe
omanõ	omanõ
paila	paila
siparate	siparate
apoʔã	apoʔã
okɨrɨg	okɨr ɨg
ibaʔeraɨ	ibaʔeraɨ
pitaŋkomape	pitaŋ koma pe
owɨb	o wɨb
pamẽitʃe	pamẽ itʃe
meneɲõkom	meneɲõ kom
datisikədʒi	dati sikədʒi
kotɨŋ	kotɨŋ
aʔeate	aʔe ate
karakuri	karakuri
raikʷara	raikʷara
ɨaramãʔẽharakomape	ɨar amãʔẽ har akom ape
hem	hem
bapɨr	bapɨr
dʒaiwərate	dʒa i wər ate
munuʔaŋanamte	munuʔaŋ anam te
demebɨri	de mebɨr i
imõbo	i mõb o
owɨkɨrog	owɨ kɨ rog
tatabodʒ	tata bodʒ
dikaruginam	di karug inam
omozezopodʒ	omo ze zopodʒ
karugapopewe	karug apopewe
dʒuribaweʔe	dʒuriba weʔe
okɨr	okɨr
okidʒewerehe	ok idʒe we rehe
pezebuʔuaiɲ	pezebu ʔua iɲ
demeni	de meni
takuruũwĩ	takuru ũwĩ
dapotari	da po tari
nipẽam	nipẽ am
oronekomuwe	oro ne kom uwe
dozaugi	do zaugi
epewaramte	e pe wara m te
pirarehe	pi rarehe
paku	paku
zeʔar	zeʔar
iʔar	iʔar
lekolazar	lekola zar
zowomaʔẽkom	zo wo maʔẽ kom
otuitar	otui tar
kuʔidʒi	kuʔi dʒi
dozaʔogiŋ	do za ʔog iŋ
pira	pir a
watekotɨwarakom	watekotɨ wara kom
naninam	nani nam
kõʔemirehe	kõʔem i rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunumi zeburupa
okaʔu	o kaʔu
osuʔupa	o suʔu pa
jawara	ja wara
oiba	o iba
esuʔu	e suʔu
omãʔẽmãʔẽ	omãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõde kom
pebaridʒaso	pebaridʒa so
opɨhɨgoŋ	o pɨhɨg oŋ
peneɨar	pene ɨar
zeʔari	zeʔar i
ɨar	ɨar
dawarimãʔẽ	da warimãʔẽ
oʔupakatu	oʔu pakatu
zoɨpɨ	zoɨpɨ
deru	deru
tawadʒi	tawa dʒi
awakʷərarehe	awa kʷəra rehe
daorɨdʒi	da orɨ dʒi
ohoʔe	oho ʔe
mozepẽãhã	mozepẽ ãhã
zawaro	zawar o
naniãhã	nani ãhã
okoaraõwã	okoaraõwã
dati	dati
ɨwɨkʷarapope	ɨwɨ kʷarapope
ipopewar	ipope war
ɨɲawite	ɨɲ awi te
omomokoɲanam	omo mokoɲ anam
nameʔeŋtari	na meʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	oʔu o
atarawadʒ	a tarawadʒ
amõkomabaʔekʷəranẽ	amõ koma baʔe kʷəra nẽ
kobaitʃe	kob a itʃe
nanenũwã	nane nũwã
edeãhãsa	ede ãhãsa
awapeto	awa pe to
idʒarɨdʒanam	idʒa rɨ dʒanam
oboapɨg	o b oapɨg
opihiokar	o pihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	o si ŋgar
ozarareiba	o zara reiba
ozekɨesago	ozekɨ esago
pedʒu	pedʒu
sisukija	si su kija
zeakapɨreri	zeakapɨreri
ozemĩnõtar	oze m ĩnõ tar
sikãĩ	sikãĩ
areko	areko
oʔaranawe	o ʔara nawe
wɨra	wɨra
so	so
baʔekʷərakom	baʔe kʷəra kom
ijɨ	ijɨ
adʒumãʔẽ	adʒumãʔẽ
oʔuwo	oʔu wo
wãĩwĩam	wãĩwĩ am
opɨhɨpa	o pɨhɨpa
mama	mama
manãkuwapa	manã kuwa pa
omeʔeŋ	o meʔeŋ
ibaridʒa	ibaridʒa
okidʒerehe	ok idʒe rehe
opopor	opo por
owag	owag
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	owedʒu
owawag	owa wag
dewɨrakotɨ	de wɨrakotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa r o wər
sikãĩwe	sikãĩ we
nõdeawuawekuwaenam	nõde awu awe kuwa enam
ohoɲ	oho ɲ
kɨto	kɨto
sizika	si zika
omãʔẽo	omãʔẽ o
zawar	zawar
ɨɲ	ɨɲ
oirur	oiru r
12zaɨãhã	12zaɨ ãhã
kõʔem	kõʔem
ereɲ	ereɲ
okuʔeŋ	okuʔe ŋ
roger	rog er
mun	mun
omõgerokar	omõg er okar
baripa	baripa
mamenasinã	mamen asinã
erezor	erezor
arowarowagamãʔẽkom	a ro war owag amãʔẽkom
oker	oker
adʒutar	adʒu tar
matɨ	matɨ
ipopenẽ	ipope nẽ
ozepir	oze pir
ozepɨhɨg	oze pɨhɨg
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	pezeboai te sipo
turehewe	tu rehe we
aŋeʔe	aŋ eʔe
aʔenawe	aʔe nawe
edeãhã	ede ãhã
enã	enã
apamawi	apam awi
tokerako	to kerako
zabaʔeokar	za baʔe okar
channel	channel
kobazepe	kob aze pe
eʔinẽɨwər	eʔi nẽ ɨwər
ozepotaroŋ	oze po taroŋ
ebaridʒa	ebaridʒa
dimani	d imani
okuwapɨlɨ	o kuwa pɨlɨ
urupehem	urupehem
akaŋ	akaŋ
ãhãsa	ãhãsa
omẽbɨr	o mẽbɨr
omõderehe	omõ derehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	oro ne karakuri õwã nam
abaʔepotɨr	a baʔe potɨr
camopipori	camopi pori
derehe	de rehe
omanõmãʔẽ	omanõ mãʔẽ
kupao	kupa o
ikarug	i karug
pɨhɨka	pɨhɨka
ibaʔewar	ibaʔe war
ekerakoɲ	e kerako ɲ
zawaram	zawar am
edɨ	e dɨ
etarawadʒ	e tarawadʒ
kupanam	kupa nam
mokoɲoŋ	mokoɲ o ŋ
zozikahar	zozika har
karaam	kara am
kobara	kob ara
nõdurtari	nõdu r tari
ereikɨdʒanũwã	ere ikɨ dʒa nũwã
tɨãkã	tɨãkã
oboʔi	obo ʔi
oeroker	oer oker
orɨorɨo	orɨ orɨ o
wɨraʔauhu	wɨraʔa uhu
oʔurtaroŋ	oʔur taroŋ
kujã	kujã
abaʔe	a baʔe
bokalape	bokalape
ozikapaŋ	ozika pa ŋ
kasuru	ka suru
onanmãʔẽate	onan mãʔẽ ate
toroʔu	tor oʔu
kunumi	kunumi
tosiamnẽ	to si am nẽ
zawa	za wa
iwoʔi	iwoʔi
nõdeɨane	nõde ɨane
ozewɨkaŋ	ozewɨ kaŋ
wãĩwĩ	wãĩwĩ
urupehemam	urupehem am
baʔekʷər	baʔe kʷər
mɨdɨdʒunam	mɨ dɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	zaidu katu kom
sibaʔetar	si baʔe tar
kir	kir
dazaugpadʒi	da zaugpa dʒi
polo	po lo
zawararaʔɨr	zawar a raʔɨr
omõwaɲ	omõ waɲ
opaʔawo	o paʔawo
poromokonamãʔẽate	poro mo kona mãʔẽ ate
apamabaʔepeãhã	apama baʔe pe ãhã
erezika	erezika
ebɨʔaramoŋnõwã	ebɨ ʔar amoŋ n õwã
bodʒ	bodʒ
mɨnawe	mɨ nawe
amewar	am e war
zadʒapɨakanam	za dʒapɨaka nam
ozeʔupakaroŋ	oze ʔu pa karoŋ
amõkom	amõ kom
owir	o wir
rehedʒi	rehedʒi
seike	se ike
dʒuriba	dʒuriba
aʔu	aʔu
azenamiahaokar	aze namiaha okar
izeburupanũwã	i zeburupa nũwã
akuwapakatu	a kuwa pakatu
kobãhã	kob ãhã
nebʃa	nebʃa
owataŋ	owata ŋ
seredʒuɲ	s eredʒu ɲ
zaidu	zaidu
opoʔo	o poʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	n o idudʒi so
sidʒaorehe	sidʒao rehe
baʔeraʔɨraʔepɨhɨga	baʔe raʔɨr aʔe pɨhɨg a
matɨsipo	matɨ sipo
erepotaneso	erepota ne so
ikotɨ	ikotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	ipope
maziʔog	mazi ʔog
ozemim	oze mim
ekojaram	e kojaram
ibaridʒate	ibaridʒa te
ʔog	ʔog
opoanba	opo anba
zomãʔẽnanhar	zo mãʔẽ nan har
derapɨdʒ	derapɨdʒ
erenũpã	erenũpã
otui	otui
