erezaugtanẽpo	ere zaug tanẽpo
sẽswawanakom	sẽswaw ana kom
niwe	ni we
opukudʒ	o puku dʒ
səsəwe	sə sə we
oɨrɨru	oɨ rɨru
dekaraɨdʒi	de kar aɨdʒi
ipuruʔa	i pur uʔa
tatapewan	ta t apewan
orozopodʒ	oro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔoʔog awĩ
sikuwakatu	si kuwa katu
oɨrumõde	oɨru mõd e
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷaraɨ rehe rako
mananãhãto	manan ãhã to
oket	ok et
erepotanẽso	erepota nẽ so
esisiganũwã	e sisiga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe ekar iɲ
dʒu	dʒu
ɨrukom	ɨru kom
ozopodʒo	o zopodʒ o
patupope	pa tu pope
oapar	oa par
tazaram	ta zar am
surug	suru g
arakapusauhu	araka pusa uhu
akaʔanũpã	akaʔa nũpã
masakaraenam	masak ara enam
opoʔoʔe	o poʔo ʔe
debaʔewaraso	debaʔew ara so
tede	t ede
taowe	ta o we
imaniaɨ	i mani aɨ
pebaridʒateso	peb aridʒa teso
mokoɲtaroŋ	mokoɲ tar oŋ
urukureʔa	urukure ʔa
ezeburupa	e zeburupa
mame	ma me
maiream	ma ire am
ozeka	oze ka
iɲuʔaŋ	iɲu ʔaŋ
ka	ka
aŋ	a ŋ
epotaroŋ	e potar oŋ
kob	ko b
owa	o wa
masogotɨ	maso gotɨ
aiɲuŋ	a iɲuŋ
kʷər	kʷər
takuruʔar	takuru ʔar
apɨdʒakotɨ	apɨ dʒa kotɨ
deleiba	d el eiba
didʒamãʔẽaɨdʒi	didʒ amãʔẽ aɨdʒi
nõdemõdokaroŋ	nõde mõdo karoŋ
nõdepe	nõde pe
otuitʃẽ	otui tʃẽ
baipurirɨepopenẽ	baipurirɨe pope nẽ
iwɨrakotɨʔe	iwɨ rakotɨ ʔe
ozewapihipihiŋ	oze wapihipih iŋ
wɨraʔazozoga	wɨraʔ az ozoga
anamiaha	a namiaha
imenoŋ	i men oŋ
obowɨg	obo wɨg
owur	o wur
apɨhɨg	a pɨhɨ g
oɨruanẽʔe	oɨru a nẽʔe
siʔu	si ʔu
pananarebeʔɨb	pa nan arebeʔɨb
zaɨr	za ɨr
eredʒu	ere dʒu
kɨtorehe	kɨto rehe
debaʔewarapo	debaʔew ara po
penedu	pe ne du
iwɨrakotɨ	iwɨ rakotɨ
dokusugi	do kusug i
mokoɲ	mokoɲ
tekeʔɨrãhã	tek eʔɨr ãhã
idʒepaila	idʒe paila
omõbakatu	omõ ba katu
ikerape	i ker ape
ezozopodʒ	ezo zopodʒ
kʷi	kʷ i
osisigarehe	o sisiga rehe
poromõmaʔam	poro mõ maʔam
omãʔẽõwã	o mãʔẽ õwã
orekʷarmeʔeŋoŋ	orekʷar meʔeŋ oŋ
oiɲuŋtaroŋ	oiɲuŋ tar oŋ
ahẽ	a hẽ
okẽhemʔog	ok ẽhem ʔog
erezikanẽ	ere zika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	e m ozemohun
tekoũwã	teko ũwã
urukureʔawi	urukure ʔa wi
obosale	obo sa le
aho	a ho
omumuɲõ	o mumu ɲõ
anami	anam i
panaĩsĩ	panaĩ sĩ
omokaʔẽpa	omo kaʔẽ pa
nan	nan
nanãhãte	nan ãhã te
toporahadʒ	to poraha dʒ
erepotar	ere potar
tʃẽ	tʃẽ
oekar	o ekar
səwe	sə we
izonaɲapɨrɨ	i zonaɲ apɨrɨ
cayenneawinẽ	cayenne awi nẽ
okaʔar	oka ʔar
lekolazarakom	lekolazar akom
awata	a wata
sautu	sau tu
ewinẽ	e wi nẽ
bal	ba l
françoise	fr anç oise
zoaʔɨrape	zo aʔɨr ape
maŋ	m a ŋ
baʔepe	baʔe pe
dekuɲaɲi	de kuɲa ɲi
dozemõdɨʔariŋ	do zemõ dɨʔariŋ
eraho	eraho
matɨwara	ma tɨwar a
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	dawari mãʔẽ enam
obotukukokat	obo tukuk okat
oʔao	o ʔa o
waita	w ai ta
õhem	õ hem
omõbagatu	omõ ba gatu
eremenõɲ	ere menõ ɲ
porowar	porowa r
ʔɨpope	ʔɨ pope
ozoʔog	o zo ʔog
troissautskotɨ	tr oissauts kotɨ
apɨdʒate	apɨ dʒa te
piɲaŋi	piɲaŋ i
orɨru	o rɨru
onan	o nan
zaɨraʔɨrate	zaɨr aʔɨr ate
aʔete	a ʔe te
izonaɲ	i zonaɲ
tekorehe	teko rehe
ikiʔɨ	i k iʔɨ
erepokogtar	ere pokog tar
orohotaruwe	oro hotar uwe
pemõbeʔu	pe mõ beʔu
esago	e sa go
kijapope	k ija pope
naonan	nao nan
idʒeate	idʒe a te
pitakomape	pi ta komape
apamanẽ	apama nẽ
eremozaugokar	eremo zaug okar
kʷienam	kʷ i enam
adudʒa	adu dʒa
idʒakaŋaʔar	idʒ akaŋ aʔar
okaoka	oka o ka
oimiʔũ	o i miʔũ
disidʒapɨakadʒi	disi dʒapɨaka dʒi
emen	e men
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	karai rupi
omeʔeŋgatu	o meʔeŋ gatu
obobaʔewatokat	obo baʔewat okat
onaŋ	o n aŋ
toroike	toro ike
epe	e pe
mananeto	manan e to
otuio	otui o
emõdur	emõ dur
ikeʔɨ	ike ʔɨ
erepotarnẽso	erepota rnẽ so
kobpakatu	kob pa katu
tou	to u
kʷienã	kʷ ie nã
omõdo	o mõdo
tekoawu	teko awu
amumuɲ	a mumu ɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨra ʔepɨhɨ gam
operoperog	o pe roperog
taraɲeahẽ	tar aɲeahẽ
zoɨpɨrehe	zo ɨpɨ rehe
wɨtʃɨnũwãso	wɨtʃɨ nũwãso
eʔiʔe	eʔi ʔe
wɨrakarakotɨnuwã	wɨraka rakotɨ nuwã
akaʔutariɲ	akaʔu tar iɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõ gaʔu okar
tekorapɨdʒate	teko rapɨdʒ ate
epaila	e paila
mokoɲamãʔẽkom	mokoɲ amãʔẽ kom
iʔareʔe	iʔare ʔe
siparam	si par am
tekokomãhã	tek o komãhã
ijɨkom	ijɨ kom
aʔɨrate	aʔɨr ate
ede	e de
kowioʔu	ko wi oʔu
wɨtʃɨnẽ	wɨtʃɨ nẽ
opokadʒaitʃe	opoka dʒa itʃe
oʔa	o ʔa
zar	zar
meʔeŋoŋ	meʔeŋ oŋ
sa	sa
emebɨr	e mebɨr
oropõʔãeta	oropõ ʔãeta
bedʒu	b e dʒu
ʒãdamam	ʒãd a mam
apamabaʔekʷərakom	apamab aʔekʷər akom
rehete	rehe te
imodamãʔẽkom	imoda mãʔẽ kom
aroʔa	a ro ʔa
oiɲuŋtaro	oiɲuŋ tar o
sisu	si su
takuru	ta kuru
emenatesipo	e men atesipo
pukutʃa	puku tʃa
azikakom	a zika kom
nõdepedʒu	nõde pe dʒu
tupa	tu pa
diawutari	di awu tari
eru	er u
pariamoŋ	pariamoŋ
abɨr	a bɨr
tekoate	teko ate
deraɨhɨpadʒi	de raɨhɨpadʒi
maire	ma ire
azenami	aze nam i
eʔu	e ʔu
wir	wir
wɨtɨrarehe	wɨtɨ ra rehe
ozewɨro	oze wɨr o
oesiruwanẽ	oes iruwa nẽ
kudʒaburuam	ku dʒa buruam
anũpã	a nũpã
oromozonaɲokar	oromo zonaɲ okar
derapɨdʒnane	de rapɨdʒ nane
peitʃɨitʃɨg	peitʃɨi tʃɨ g
tekeʔɨr	tek eʔɨr
ɨŋa	ɨŋa
aʔebarehete	aʔe b arehete
oiɲuŋ	o iɲuŋ
dabaʔepatari	da baʔe patari
ozepɨhɨgo	oze pɨhɨ go
nomãʔẽtaraɨdʒimãʔẽte	nomãʔẽtaraɨdʒi mãʔẽ te
etaokar	e ta okar
dezarakom	de zara kom
idʒupe	i dʒu pe
sujeranõãtʃã	s ujeranõãtʃã
aʔenũwãso	a ʔe nũwãso
pedʒapɨakaõwã	pe dʒapɨaka õwã
purerureka	purerur e ka
sisigakomarehe	sisiga komarehe
taraɲe	ta ra ɲe
domanõɲi	d omanõ ɲi
obodzauk	obo dz auk
arakapusawe	araka pusa we
poropɨhɨg	poro pɨhɨ g
tukugi	tukug i
erehe	e rehe
okẽ	ok ẽ
aʔɨraterehe	aʔɨ rate rehe
munuʔaŋanate	munuʔaŋ ana te
apɨka	apɨ ka
ebaʔewar	e baʔe war
karaikom	karai kom
nõdebaʔekʷərawe	nõdebaʔe kʷər awe
kʷaraɨpope	kʷaraɨ pope
ezozopodʒiɲ	ezo zopodʒ iɲ
ozebaradʒ	oze baradʒ
ãhãso	ãhã so
aipo	a ipo
kupaɲ	kupa ɲ
rapɨdʒate	rapɨdʒ ate
eʔi	e ʔi
omõgaʔupa	omõ gaʔu pa
aʔɨta	aʔɨ ta
tekokom	teko kom
wãĩwã	wã ĩw ã
kudʒatãĩkɨr	kudʒatãĩ kɨr
ãhã	ãhã
erapɨdʒtar	e rapɨdʒ tar
lekolazarate	lekolazar ate
otuirupiwe	otui rupi we
zawarakomarehe	zawa ra komarehe
eawutar	e awu tar
ãtɨ	ãtɨ
pezika	pe zika
daepɨdʒiaʔu	da epɨdʒia ʔu
ʔar	ʔar
aʔebaʔekʷər	aʔeb aʔekʷər
amonam	am o nam
opoʔãpope	o poʔã pope
oeraokompa	oerao kom pa
tamãʔẽ	ta mãʔẽ
amãʔẽnẽ	amãʔẽ nẽ
seikokom	se iko kom
itukug	i tukug
idʒar	i dʒa r
toti	to ti
oʔurtar	oʔur tar
pekoar	pe koar
baʔepopedʒi	baʔe pope dʒi
defreãhã	de fre ãhã
epɨbɨrɨ	epɨ bɨrɨ
omõduroŋ	omõ dur oŋ
oipir	oi pir
uruwi	ur uwi
ʔɨb	ʔɨ b
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨg tareʔe
zozikaa	zo zika a
ikemɨn	i kemɨn
ikɨwɨrakom	ikɨ wɨra kom
diakaŋi	di akaŋ i
orohotar	oro hotar
siʔe	si ʔe
atarawadʒiɲ	a tarawa dʒiɲ
sidʒaonẽ	sidʒa o nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔãn oŋ
zadʒapɨaka	za dʒapɨaka
oʔoramte	o ʔoram te
omẽbɨro	o mẽbɨr o
omõgʷeraharanẽ	o mõgʷera haranẽ
munam	mun am
oakaŋ	o akaŋ
tab	ta b
baʔesipo	baʔe sipo
eibaŋ	e iba ŋ
lekolape	lek ol ape
otuiʔe	otui ʔe
tereraho	ter eraho
kawi	ka wi
iboteaweʔe	i botea weʔe
eɲuwanamenũwã	e ɲuwaname nũwã
ikijamaʔẽ	ik ija maʔẽ
oiɲuŋoŋ	o iɲuŋ oŋ
pepazenam	pe paze nam
maŋato	ma ŋ ato
kededʒu	k ede dʒu
wɨɲate	wɨɲa te
aʔekɨto	aʔe kɨto
rupawəra	rupawəra
aʔe	a ʔe
oerokʷa	oero kʷa
apoʔãetaokar	apo ʔãeta okar
baʔeraʔɨrapɨhɨka	baʔeraʔɨra pɨhɨ ka
onenaŋoŋ	o nenaŋo ŋ
ʔarape	ʔar ape
deroʔoram	dero ʔoram
ɨwɨʔar	ɨwɨ ʔar
imani	i mani
sinan	si nan
terehotar	tere hotar
datɨpɨdʒi	dat ɨpɨ dʒi
apamabaʔekʷər	apamab aʔekʷər
oweroporahadʒpa	owero poraha dʒpa
amanaraʔɨrate	amanaraʔɨ r ate
okadʒ	o ka dʒ
wɨtʃɨkuwa	wɨtʃɨ kuwa
okarabɨtebarupi	okara bɨteb arupi
kayenape	ka yen ape
dosuʔutari	do suʔutari
edʒɨwe	edʒɨ we
am	a m
sidʒu	si dʒu
kʷarapope	kʷara pope
mozepẽ	mozep ẽ
ewedʒu	e we dʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨ a nam
owatamaʔẽ	o wata maʔẽ
tukukimaʔẽ	tukuk imaʔẽ
zawarenam	zawa r enam
aʔekom	aʔe kom
napiarehe	napia rehe
orepe	o r epe
zarakom	za ra kom
õwem	õ we m
osuʔu	o suʔu
idʒeanẽ	idʒe a nẽ
zarenũwã	za re nũwã
aʔekomãhã	a ʔe komãhã
edeatesipo	e de atesipo
wanegatukuwa	wane gatu kuwa
otuiŋ	otui ŋ
pe	pe
pezezika	peze zika
ozikakom	o zika kom
ozaug	o zaug
siŋi	si ŋ i
opa	o pa
nõdebaʔekʷərarehete	nõdebaʔe kʷər arehete
pekariɲ	pe kar iɲ
enam	e nam
obaʔe	o baʔe
tekokomarehe	tek o komarehe
epɨ	e pɨ
tapoʔo	ta poʔo
lapotarupi	lapot arupi
ekotɨŋ	e kotɨ ŋ
otuitaro	otui tar o
otuipamãʔẽ	otui pa mãʔẽ
zazemõapampa	za zemõ apampa
ozaramoŋ	ozara m oŋ
zapu	za pu
tukuk	tukuk
tapiʔir	ta piʔir
arehete	a rehe te
okakuwa	oka kuwa
idʒupekupamãʔẽ	idʒupekupam ãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	to kɨr
aŋawi	aŋ awi
aiɲuŋokatar	aiɲuŋo ka tar
ijɨrehewe	ijɨ rehe we
tapɨdʒam	tapɨdʒa m
eraha	e r aha
piramãʔẽ	pi ra mãʔẽ
pazaru	pa zar u
azor	a zo r
awakʷəraraʔɨr	awa kʷər araʔɨr
zeʔoram	ze ʔoram
okijapope	ok ija pope
depeidudʒi	de peidu dʒi
nõdezarakotɨ	nõde zara kotɨ
omõgaguaŋ	omõ gagu aŋ
opirog	o pir og
owɨr	owɨ r
aʔuwe	a ʔu we
eakãnũpã	eakã nũpã
inamɨɲ	i nam ɨɲ
amanaraʔɨraterehe	amanaraʔɨ rate rehe
oweta	o we ta
kede	k ede
wanemãʔẽ	wane mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	de raɨhɨ dʒi
sikuwa	si kuwa
emõdurawĩ	emõ dur awĩ
ozezikaŋ	oze zika ŋ
parceque	par ceque
porowaratewe	porowa rate we
desuʔu	de suʔu
zapusĩ	zapu sĩ
oʔoram	o ʔoram
aipoate	a ipo ate
tapɨdʒapope	tapɨdʒa pope
nõderaʔɨrakomateenam	nõde raʔɨrakomate enam
pedehe	ped ehe
izazape	iz az ape
wiroate	wi ro ate
daʔudʒi	da ʔu dʒi
kobtarpɨrɨ	kob tar pɨrɨ
oɨkɨdʒ	o ɨkɨ dʒ
apam	a p am
omãʔẽ	o mãʔẽ
oeraho	o eraho
idʒuwiŋ	idʒ uwi ŋ
ãtɨte	ãtɨ te
idʒupekupamãʔẽpuri	idʒupekupam ãʔẽpuri
zemenõ	ze menõ
doʔudʒi	do ʔu dʒi
səmãʔẽʔar	sə mãʔẽ ʔar
erapararaha	er apararah a
aku	a ku
iɲuʔaŋoŋ	iɲu ʔaŋ oŋ
ozezeka	oze z eka
moɲi	mo ɲi
okarabɨteb	okara bɨteb
zawaraenam	zawa ra enam
idʒeãhã	idʒe ãhã
iwaɲe	i wa ɲe
perabkatu	pe rab katu
wɨrakaranũwãʔe	wɨraka ranũwã ʔe
ikemɨnanam	i kemɨn anam
awurtar	a wur tar
orekʷarape	o rekʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔe har
teko	teko
wãĩwĩenam	wã ĩwĩ enam
oiruo	o iru o
ɨat	ɨat
kudʒatãĩkɨrakom	kudʒatãĩ kɨr akom
napiararehe	napia ra rehe
owata	o wata
pedapɨdʒ	ped apɨ dʒ
dadʒaʔodʒiɲ	da dʒaʔo dʒiɲ
ɨɲtʃɨwi	ɨɲ tʃɨ wi
emẽbɨriɲ	e mẽbɨr iɲ
imen	i men
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	o kusug
okero	o kero
zaiko	za iko
maziʔogape	ma ziʔog ape
idʒe	idʒ e
ozemokasinẽ	oze mokasi nẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	oʔur amãʔẽ kom
wɨraʔa	wɨraʔ a
nanipamẽ	nani pamẽ
to	t o
dorokuwadʒi	doro kuwa dʒi
apamaʔe	apama ʔe
takuruʔaranẽ	takuru ʔara nẽ
baʔewi	baʔe wi
aerahoraho	a eraho raho
rebe	rebe
otuiomãʔẽrehe	otuio mãʔẽ rehe
aiɲuŋokartar	aiɲuŋo kar tar
irupi	i rupi
zawapinimaʔar	zawa pinim aʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	nao nan pɨrɨnẽ
obotukuk	obo tukuk
kor	ko r
koenam	k o enam
oiɲuŋbanam	oiɲuŋ ba nam
okuar	o kuar
ibaʔewato	i baʔewat o
zeporikatu	ze pori katu
urupẽhem	urup ẽhem
dezeburupa	de zeburupa
osapatokom	o sapato kom
ozebaradʒo	oze baradʒ o
oweraho	o we raho
bodʒuhukom	bodʒuhu kom
ikotɨɲ	i kotɨ ɲ
oeta	o et a
taʔaŋarehe	ta ʔaŋ arehe
omanõ	omanõ
paila	paila
siparate	si par ate
apoʔã	a poʔã
okɨrɨg	o kɨr ɨg
ibaʔeraɨ	iba ʔeraɨ
pitaŋkomape	pitaŋ komape
owɨb	owɨ b
pamẽitʃe	pamẽ itʃe
meneɲõkom	meneɲõ kom
datisikədʒi	dati sikə dʒi
kotɨŋ	kotɨ ŋ
aʔeate	a ʔe ate
karakuri	ka rakuri
raikʷara	rai kʷara
ɨaramãʔẽharakomape	ɨaramãʔẽha ra komape
hem	hem
bapɨr	b apɨ r
dʒaiwərate	dʒaiwə ra te
munuʔaŋanamte	munuʔaŋ anam te
demebɨri	de mebɨr i
imõbo	i mõ bo
owɨkɨrog	owɨ kɨr og
tatabodʒ	ta tabo dʒ
dikaruginam	di karugi nam
omozezopodʒ	omoze zopodʒ
karugapopewe	karuga pope we
dʒuribaweʔe	dʒurib a weʔe
okɨr	o kɨr
okidʒewerehe	okidʒe we rehe
pezebuʔuaiɲ	pezeb uʔua iɲ
demeni	de men i
takuruũwĩ	takuru ũwĩ
dapotari	da potar i
nipẽam	ni pẽ am
oronekomuwe	orone kom uwe
dozaugi	do zaug i
epewaramte	e pewaram te
pirarehe	pir arehe
paku	pa ku
zeʔar	ze ʔar
iʔar	i ʔar
lekolazar	lekolazar
zowomaʔẽkom	zo womaʔẽ kom
otuitar	otui tar
kuʔidʒi	kuʔi dʒi
dozaʔogiŋ	do zaʔog iŋ
pira	pi ra
watekotɨwarakom	wateko tɨwar akom
naninam	nani nam
kõʔemirehe	kõʔe mi rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunu mi zeburupa
okaʔu	o ka ʔu
osuʔupa	o suʔu pa
jawara	jaw ara
oiba	o iba
esuʔu	e suʔu
omãʔẽmãʔẽ	o mãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõde kom
pebaridʒaso	peb aridʒa so
opɨhɨgoŋ	o pɨhɨ goŋ
peneɨar	pe ne ɨar
zeʔari	ze ʔar i
ɨar	ɨa r
dawarimãʔẽ	dawari mãʔẽ
oʔupakatu	o ʔu pakatu
zoɨpɨ	zo ɨpɨ
deru	de ru
tawadʒi	ta wa dʒi
awakʷərarehe	awa kʷər arehe
daorɨdʒi	da orɨ dʒi
ohoʔe	o ho ʔe
mozepẽãhã	mozep ẽ ãhã
zawaro	zawa ro
naniãhã	nani ãhã
okoaraõwã	oko ara õwã
dati	da ti
ɨwɨkʷarapope	ɨwɨ kʷara pope
ipopewar	i pope war
ɨɲawite	ɨɲ awi te
omomokoɲanam	omo mokoɲ anam
nameʔeŋtari	na meʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	o ʔu o
atarawadʒ	a tarawa dʒ
amõkomabaʔekʷəranẽ	amõkomab aʔekʷər anẽ
kobaitʃe	kob a itʃe
nanenũwã	nan e nũwã
edeãhãsa	ede ãhã sa
awapeto	awa pe to
idʒarɨdʒanam	idʒ arɨdʒ anam
oboapɨg	obo apɨ g
opihiokar	opihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	o siŋga r
ozarareiba	ozara r eiba
ozekɨesago	oze kɨesago
pedʒu	pe dʒu
sisukija	si su kija
zeakapɨreri	ze akapɨrer i
ozemĩnõtar	oze mĩnõ tar
sikãĩ	si kãĩ
areko	a r eko
oʔaranawe	o ʔara nawe
wɨra	wɨra
so	s o
baʔekʷərakom	b aʔekʷər akom
ijɨ	i jɨ
adʒumãʔẽ	a dʒu mãʔẽ
oʔuwo	o ʔu wo
wãĩwĩam	wã ĩwĩ am
opɨhɨpa	o pɨhɨ pa
mama	ma m a
manãkuwapa	manã kuwa pa
omeʔeŋ	o meʔeŋ
ibaridʒa	ib aridʒa
okidʒerehe	okidʒe rehe
opopor	o po por
owag	o wag
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	o we dʒu
owawag	o wa wag
dewɨrakotɨ	de wɨra kotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa ro wər
sikãĩwe	si kãĩ we
nõdeawuawekuwaenam	nõde awuawekuwa enam
ohoɲ	o ho ɲ
kɨto	kɨto
sizika	si zika
omãʔẽo	o mãʔẽ o
zawar	zawa r
ɨɲ	ɨ ɲ
oirur	o iru r
12zaɨãhã	12zaɨ ãhã
kõʔem	kõʔe m
ereɲ	ere ɲ
okuʔeŋ	oku ʔe ŋ
roger	ro ger
mun	mun
omõgerokar	omõ ger okar
baripa	barip a
mamenasinã	ma men asinã
erezor	ere zo r
arowarowagamãʔẽkom	arowarowag amãʔẽ kom
oker	o ker
adʒutar	a dʒu tar
matɨ	ma tɨ
ipopenẽ	i pope nẽ
ozepir	oze pir
ozepɨhɨg	oze pɨhɨ g
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	pezeb oaite sipo
turehewe	tu rehe we
aŋeʔe	aŋ eʔe
aʔenawe	a ʔe nawe
edeãhã	ede ãhã
enã	e nã
apamawi	apama wi
tokerako	to kerako
zabaʔeokar	za baʔe okar
channel	chan ne l
kobazepe	kob az epe
eʔinẽɨwər	eʔi nẽɨ wər
ozepotaroŋ	oze potar oŋ
ebaridʒa	eb aridʒa
dimani	di mani
okuwapɨlɨ	o kuwa pɨlɨ
urupehem	urup ehe m
akaŋ	akaŋ
ãhãsa	ãhã sa
omẽbɨr	o mẽbɨr
omõderehe	omõ de rehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	orone karakuriõwãn am
abaʔepotɨr	a baʔe potɨr
camopipori	camopi pori
derehe	de rehe
omanõmãʔẽ	omanõ mãʔẽ
kupao	kupa o
ikarug	i kar ug
pɨhɨka	pɨhɨ ka
ibaʔewar	iba ʔe war
ekerakoɲ	e kerako ɲ
zawaram	zawa ra m
edɨ	e dɨ
etarawadʒ	e tarawa dʒ
kupanam	kupa nam
mokoɲoŋ	mokoɲ oŋ
zozikahar	zo zika har
karaam	ka ra am
kobara	kob ara
nõdurtari	nõ dur tari
ereikɨdʒanũwã	ereikɨ dʒa nũwã
tɨãkã	tɨ ãkã
oboʔi	obo ʔi
oeroker	oero ker
orɨorɨo	o rɨorɨo
wɨraʔauhu	wɨraʔ a uhu
oʔurtaroŋ	oʔur tar oŋ
kujã	ku j ã
abaʔe	a baʔe
bokalape	bokal ape
ozikapaŋ	o zika paŋ
kasuru	ka suru
onanmãʔẽate	onan mãʔẽ ate
toroʔu	toro ʔu
kunumi	kunu mi
tosiamnẽ	to siam nẽ
zawa	za wa
iwoʔi	iwo ʔi
nõdeɨane	nõde ɨane
ozewɨkaŋ	oze wɨk aŋ
wãĩwĩ	wã ĩwĩ
urupehemam	urup ehe mam
baʔekʷər	baʔe kʷər
mɨdɨdʒunam	mɨdɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	zaiduka tu kom
sibaʔetar	si baʔe tar
kir	k ir
dazaugpadʒi	da zaugpa dʒi
polo	p ol o
zawararaʔɨr	zawa r araʔɨr
omõwaɲ	omõ wa ɲ
opaʔawo	o paʔa wo
poromokonamãʔẽate	poromokon amãʔẽ ate
apamabaʔepeãhã	apamab aʔepe ãhã
erezika	ere zika
ebɨʔaramoŋnõwã	e bɨʔaramoŋn õwã
bodʒ	b o dʒ
mɨnawe	mɨ nawe
amewar	am e war
zadʒapɨakanam	za dʒapɨaka nam
ozeʔupakaroŋ	oze ʔupa karoŋ
amõkom	a mõ kom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒurib a
aʔu	a ʔu
azenamiahaokar	aze namiaha okar
izeburupanũwã	iz eburupa nũwã
akuwapakatu	a kuwa pakatu
kobãhã	kob ãhã
nebʃa	ne bʃ a
owataŋ	o wata ŋ
seredʒuɲ	sere dʒu ɲ
zaidu	za idu
opoʔo	o poʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	n oidudʒi so
sidʒaorehe	sidʒa o rehe
