erezaugtanẽpo	ere zaugtanẽpo
opukudʒ	o pu kudʒ
səsəwe	sə səwe
oɨrɨru	o ɨr ɨru
dekaraɨdʒi	de karaɨ dʒi
ipuruʔa	i puru ʔa
tatapewan	tata pe wan
orozopodʒ	oro zopodʒ
ozar	o zar
oʔoʔogawĩ	o ʔoʔog awĩ
sikuwakatu	si kuwa katu
oɨrumõde	o ɨru mõde
tukukaɨ	tukuk aɨ
kʷaraɨreherako	kʷaraɨ reherako
mananãhãto	ma nanãhã to
oket	o ket
erepotanẽso	ere pota nẽso
esisiganũwã	e sisiga nũwã
ozopodʒ	o zopodʒ
peekariɲ	pe ekar iɲ
dʒu	dʒu
ɨrukom	ɨru kom
ozopodʒo	o zopodʒ o
patupope	patu pope
oapar	o apar
tazaram	ta zar am
surug	surug
arakapusauhu	arak apusa uhu
akaʔanũpã	akaʔa nũpã
masakaraenam	ma sakara enam
opoʔoʔe	o poʔo ʔe
debaʔewaraso	debaʔewara so
tede	tede
taowe	ta owe
imaniaɨ	i mani aɨ
pebaridʒateso	pe baridʒa teso
mokoɲtaroŋ	mokoɲ taroŋ
urukureʔa	uruk ureʔa
ezeburupa	e zeburupa
mame	ma me
maiream	ma ire am
ozeka	o zeka
iɲuʔaŋ	i ɲuʔaŋ
ka	ka
aŋ	a ŋ
epotaroŋ	e potar oŋ
kob	ko b
owa	o wa
masogotɨ	maso gotɨ
aiɲuŋ	a iɲuŋ
kʷər	kʷər
takuruʔar	takuru ʔar
apɨdʒakotɨ	apɨdʒ akotɨ
deleiba	de le iba
didʒamãʔẽaɨdʒi	di dʒamãʔẽaɨ dʒi
nõdemõdokaroŋ	nõde mõdo karoŋ
nõdepe	nõde pe
otuitʃẽ	otui tʃẽ
baipurirɨepopenẽ	ba ipurirɨepope nẽ
iwɨrakotɨʔe	i wɨrakotɨ ʔe
ozewapihipihiŋ	oze wapihipihi ŋ
wɨraʔazozoga	wɨraʔa zozoga
anamiaha	a namiaha
imenoŋ	i men oŋ
obowɨg	obo wɨg
owur	o wu r
apɨhɨg	a pɨhɨg
oɨruanẽʔe	o ɨrua nẽʔe
siʔu	si ʔu
pananarebeʔɨb	pananarebe ʔɨb
zaɨr	za ɨr
eredʒu	ere dʒu
kɨtorehe	kɨto rehe
debaʔewarapo	debaʔewara po
penedu	pene du
iwɨrakotɨ	i wɨrakotɨ
dokusugi	do kusug i
mokoɲ	mokoɲ
tekeʔɨrãhã	tekeʔ ɨrãhã
idʒepaila	idʒe paila
omõbakatu	omõ ba katu
ikerape	i ker ape
ezozopodʒ	ezo zopodʒ
kʷi	kʷi
osisigarehe	o sisiga rehe
poromõmaʔam	poro mõmaʔa m
omãʔẽõwã	o mãʔẽ õwã
orekʷarmeʔeŋoŋ	orekʷar meʔeŋ oŋ
oiɲuŋtaroŋ	o iɲuŋ taroŋ
ahẽ	ahẽ
okẽhemʔog	o kẽ hemʔog
erezikanẽ	ere zika nẽ
akoar	a koar
nõdezar	nõde zar
emozemohun	e moze mohun
tekoũwã	teko ũwã
urukureʔawi	uruk ureʔa wi
obosale	obo sale
aho	a ho
omumuɲõ	o mumuɲ õ
anami	a nami
panaĩsĩ	pa na ĩsĩ
omokaʔẽpa	omo kaʔẽ pa
nan	nan
nanãhãte	nanãhã te
toporahadʒ	to porahadʒ
erepotar	ere potar
tʃẽ	tʃẽ
oekar	o ekar
səwe	səwe
izonaɲapɨrɨ	izona ɲa pɨrɨ
cayenneawinẽ	cayenne awi nẽ
okaʔar	okaʔar
lekolazarakom	lekola zara kom
awata	a wata
sautu	sa utu
ewinẽ	e wi nẽ
bal	ba l
françoise	franço is e
zoaʔɨrape	zo aʔɨrape
maŋ	ma ŋ
baʔepe	baʔe pe
dekuɲaɲi	de kuɲa ɲi
dozemõdɨʔariŋ	do zemõdɨʔar iŋ
eraho	eraho
matɨwara	ma tɨwara
atɨnẽ	a tɨ nẽ
rɨru	rɨru
dawarimãʔẽenam	dawari mãʔẽ enam
obotukukokat	obo tukuk okat
oʔao	o ʔa o
waita	wa ita
õhem	õ hem
omõbagatu	omõ ba gatu
eremenõɲ	ere menõ ɲ
porowar	poro war
ʔɨpope	ʔɨ pope
ozoʔog	o zoʔog
troissautskotɨ	tro is sautskotɨ
apɨdʒate	apɨdʒ ate
piɲaŋi	piɲaŋ i
orɨru	o rɨru
onan	o nan
zaɨraʔɨrate	za ɨr aʔɨrate
aʔete	aʔe te
izonaɲ	izona ɲ
tekorehe	teko rehe
ikiʔɨ	i ki ʔɨ
erepokogtar	ere pokogtar
orohotaruwe	oro hotar uwe
pemõbeʔu	pe mõbe ʔu
esago	esago
kijapope	kija pope
naonan	na onan
idʒeate	idʒe ate
pitakomape	pita komape
apamanẽ	apama nẽ
eremozaugokar	ere mozaug okar
kʷienam	kʷi enam
adudʒa	a du dʒa
idʒakaŋaʔar	i dʒakaŋaʔar
okaoka	oka oka
oimiʔũ	o imiʔũ
disidʒapɨakadʒi	disi dʒapɨaka dʒi
emen	e men
ikɨʔa	ikɨ ʔa
ta	ta
karairupi	karai rupi
omeʔeŋgatu	o meʔeŋ gatu
obobaʔewatokat	obo baʔewat okat
onaŋ	o na ŋ
toroike	toro ike
epe	e pe
mananeto	ma nane to
otuio	otui o
emõdur	e mõdur
ikeʔɨ	ike ʔɨ
erepotarnẽso	ere potar nẽso
kobpakatu	kob pa katu
tou	tou
kʷienã	kʷi enã
omõdo	o mõdo
tekoawu	teko awu
amumuɲ	a mumuɲ
baʔeraʔɨraʔepɨhɨgam	baʔeraʔɨra ʔepɨhɨg am
operoperog	o perope rog
taraɲeahẽ	taraɲe ahẽ
zoɨpɨrehe	zoɨpɨ rehe
wɨtʃɨnũwãso	wɨtʃɨ nũwã so
eʔiʔe	e ʔi ʔe
wɨrakarakotɨnuwã	wɨrakara kotɨ nuwã
akaʔutariɲ	akaʔu tar iɲ
ikuɲawi	i kuɲa wi
omõgaʔuokar	omõgaʔu okar
tekorapɨdʒate	teko rapɨdʒ ate
epaila	e paila
mokoɲamãʔẽkom	mokoɲ amãʔẽkom
iʔareʔe	i ʔar eʔe
siparam	sipar am
tekokomãhã	teko kom ãhã
ijɨkom	ijɨ kom
aʔɨrate	aʔɨrate
ede	e de
kowioʔu	ko wi oʔu
wɨtʃɨnẽ	wɨtʃɨ nẽ
opokadʒaitʃe	o pokadʒa itʃe
oʔa	o ʔa
zar	za r
meʔeŋoŋ	meʔeŋ oŋ
sa	sa
emebɨr	e mebɨr
oropõʔãeta	oro põʔãe ta
bedʒu	be dʒu
ʒãdamam	ʒãd am am
apamabaʔekʷərakom	apama baʔekʷəra kom
rehete	rehe te
imodamãʔẽkom	i mod amãʔẽkom
aroʔa	a ro ʔa
oiɲuŋtaro	o iɲuŋ taro
sisu	si su
takuru	ta k uru
emenatesipo	e men atesipo
pukutʃa	puku tʃa
azikakom	a zika kom
nõdepedʒu	nõde pe dʒu
tupa	tu pa
diawutari	di awu tari
eru	e ru
pariamoŋ	paria moŋ
abɨr	a bɨr
tekoate	teko ate
deraɨhɨpadʒi	de raɨhɨpadʒi
maire	ma ire
azenami	aze nami
eʔu	e ʔu
wir	wir
wɨtɨrarehe	wɨ tɨ rarehe
ozewɨro	oze wɨr o
oesiruwanẽ	o esiruwa nẽ
kudʒaburuam	ku dʒaburu am
anũpã	a nũpã
oromozonaɲokar	oro mozonaɲ okar
derapɨdʒnane	de rapɨdʒ nane
peitʃɨitʃɨg	pe itʃɨitʃɨg
tekeʔɨr	tekeʔ ɨr
ɨŋa	ɨŋa
aʔebarehete	aʔe ba rehete
oiɲuŋ	o iɲuŋ
dabaʔepatari	da baʔepa tari
ozepɨhɨgo	oze pɨhɨg o
nomãʔẽtaraɨdʒimãʔẽte	no mãʔẽtaraɨ dʒimãʔẽte
etaokar	eta okar
dezarakom	de zara kom
idʒupe	idʒu pe
sujeranõãtʃã	sujeranõ ãtʃã
aʔenũwãso	aʔe nũwã so
pedʒapɨakaõwã	pe dʒapɨaka õwã
purerureka	pure rur eka
sisigakomarehe	sisiga komarehe
taraɲe	taraɲe
domanõɲi	do manõ ɲi
obodzauk	obo dzauk
arakapusawe	arak apusa we
poropɨhɨg	poro pɨhɨg
tukugi	tukug i
erehe	e rehe
okẽ	o kẽ
aʔɨraterehe	aʔɨrate rehe
munuʔaŋanate	munuʔaŋa na te
apɨka	a pɨ ka
ebaʔewar	e baʔewar
karaikom	karai kom
nõdebaʔekʷərawe	nõde baʔekʷəra we
kʷaraɨpope	kʷaraɨ pope
ezozopodʒiɲ	ezo zopodʒ iɲ
ozebaradʒ	ozeba radʒ
ãhãso	ãhã so
aipo	a ipo
kupaɲ	kupa ɲ
rapɨdʒate	rapɨdʒa te
eʔi	e ʔi
omõgaʔupa	omõgaʔu pa
aʔɨta	a ʔɨ ta
tekokom	teko kom
wãĩwã	wãĩ wã
kudʒatãĩkɨr	kudʒatã ĩkɨr
ãhã	ãhã
erapɨdʒtar	e rapɨdʒ tar
lekolazarate	lekola zara te
otuirupiwe	otui rupi we
zawarakomarehe	zawara komarehe
eawutar	e awu tar
ãtɨ	ãtɨ
pezika	pe zika
daepɨdʒiaʔu	da epɨdʒiaʔu
ʔar	ʔar
aʔebaʔekʷər	aʔe baʔekʷər
amonam	a mo nam
opoʔãpope	o poʔã pope
oeraokompa	o eraokom pa
tamãʔẽ	ta mãʔẽ
amãʔẽnẽ	a mãʔẽ nẽ
seikokom	se iko kom
itukug	i tukug
idʒar	i dʒa r
toti	to t i
oʔurtar	o ʔu rtar
pekoar	pe koar
baʔepopedʒi	baʔe pope dʒi
defreãhã	de fre ãhã
epɨbɨrɨ	e pɨbɨrɨ
omõduroŋ	o mõdur oŋ
oipir	o ipi r
uruwi	uru wi
ʔɨb	ʔɨb
oboʔa	obo ʔa
sizopodʒ	si zopodʒ
orowɨgtareʔe	oro wɨg tareʔe
zozikaa	zo zika a
ikemɨn	ikemɨn
ikɨwɨrakom	ikɨ wɨra kom
diakaŋi	di akaŋ i
orohotar	oro hotar
siʔe	si ʔe
atarawadʒiɲ	a tarawadʒ iɲ
sidʒaonẽ	si dʒao nẽ
obotekookat	obo teko okat
apõʔãnoŋ	a põʔãn oŋ
zadʒapɨaka	za dʒapɨaka
oʔoramte	o ʔoram te
omẽbɨro	o mẽbɨr o
omõgʷeraharanẽ	o mõgʷera haranẽ
munam	mun am
oakaŋ	o akaŋ
tab	ta b
baʔesipo	baʔe sipo
eibaŋ	e iba ŋ
lekolape	lekola pe
otuiʔe	otui ʔe
tereraho	ter eraho
kawi	ka wi
iboteaweʔe	ibote a weʔe
eɲuwanamenũwã	eɲuwaname nũwã
ikijamaʔẽ	i kija maʔẽ
oiɲuŋoŋ	o iɲuŋ oŋ
pepazenam	pepaze nam
maŋato	ma ŋa to
kededʒu	kede dʒu
wɨɲate	wɨɲa te
aʔekɨto	aʔe kɨto
rupawəra	rupawəra
aʔe	a ʔe
oerokʷa	oero kʷa
apoʔãetaokar	a poʔãeta okar
baʔeraʔɨrapɨhɨka	baʔeraʔɨra pɨhɨka
onenaŋoŋ	o nenaŋ oŋ
ʔarape	ʔar ape
deroʔoram	dero ʔoram
ɨwɨʔar	ɨwɨ ʔar
imani	i mani
sinan	si nan
terehotar	tere hotar
datɨpɨdʒi	da tɨpɨ dʒi
apamabaʔekʷər	apama baʔekʷər
oweroporahadʒpa	owero porahadʒ pa
amanaraʔɨrate	amanar aʔɨrate
okadʒ	o ka dʒ
wɨtʃɨkuwa	wɨtʃɨ kuwa
okarabɨtebarupi	o karabɨteb arupi
kayenape	kayen ape
dosuʔutari	do suʔutari
edʒɨwe	e dʒɨ we
am	am
sidʒu	si dʒu
kʷarapope	kʷara pope
mozepẽ	mozepẽ
ewedʒu	e wedʒu
zamãʔẽ	za mãʔẽ
pɨanam	pɨanam
owatamaʔẽ	o wata maʔẽ
tukukimaʔẽ	tukuk imaʔẽ
zawarenam	zawar enam
aʔekom	aʔekom
napiarehe	napia rehe
orepe	ore pe
zarakom	zara kom
õwem	õwe m
osuʔu	o suʔu
idʒeanẽ	idʒe a nẽ
zarenũwã	za re nũwã
aʔekomãhã	aʔe komãhã
edeatesipo	e de atesipo
wanegatukuwa	wane gatukuwa
otuiŋ	otui ŋ
pe	pe
pezezika	peze zika
ozikakom	o zika kom
ozaug	o zaug
siŋi	si ŋ i
opa	o pa
nõdebaʔekʷərarehete	nõde baʔekʷəra rehete
pekariɲ	pe kar iɲ
enam	e n am
obaʔe	o baʔe
tekokomarehe	teko komarehe
epɨ	e pɨ
tapoʔo	ta poʔo
lapotarupi	la potar upi
ekotɨŋ	e kotɨŋ
otuitaro	otui taro
otuipamãʔẽ	otui pa mãʔẽ
zazemõapampa	za zemõapam pa
ozaramoŋ	o zara moŋ
zapu	za pu
tukuk	tukuk
tapiʔir	ta piʔi r
arehete	a rehe te
okakuwa	o ka kuwa
idʒupekupamãʔẽ	idʒu pekupa mãʔẽ
obaʔeŋ	o baʔe ŋ
tokɨr	to kɨr
aŋawi	a ŋa wi
aiɲuŋokatar	a iɲuŋoka tar
ijɨrehewe	ijɨ rehewe
tapɨdʒam	tapɨdʒa m
eraha	e raha
piramãʔẽ	pira mãʔẽ
pazaru	pa zar u
azor	a zor
awakʷəraraʔɨr	a wakʷəra raʔɨr
zeʔoram	ze ʔoram
okijapope	o kija pope
depeidudʒi	de peidu dʒi
nõdezarakotɨ	nõde zara kotɨ
omõgaguaŋ	omõ gagua ŋ
opirog	o pi rog
owɨr	o wɨr
aʔuwe	a ʔu we
eakãnũpã	eakã nũpã
inamɨɲ	i namɨɲ
amanaraʔɨraterehe	amanar aʔɨrate rehe
oweta	owe ta
kede	kede
wanemãʔẽ	wane mãʔẽ
epoʔã	e poʔã
deraɨhɨdʒi	de raɨhɨ dʒi
sikuwa	si kuwa
emõdurawĩ	e mõdur awĩ
ozezikaŋ	oze zika ŋ
parceque	par ceque
porowaratewe	poro waratewe
desuʔu	de suʔu
zapusĩ	za pusĩ
oʔoram	o ʔoram
aipoate	a ipo ate
tapɨdʒapope	tapɨdʒa pope
nõderaʔɨrakomateenam	nõde raʔɨrakomate enam
pedehe	ped ehe
izazape	i zaza pe
wiroate	wiro ate
daʔudʒi	da ʔu dʒi
kobtarpɨrɨ	kob tar pɨrɨ
oɨkɨdʒ	o ɨkɨ dʒ
apam	apam
omãʔẽ	o mãʔẽ
oeraho	o eraho
idʒuwiŋ	idʒu wi ŋ
ãtɨte	ãtɨ te
idʒupekupamãʔẽpuri	idʒu pekupa mãʔẽpuri
zemenõ	ze menõ
doʔudʒi	do ʔudʒi
səmãʔẽʔar	sə mãʔẽ ʔar
erapararaha	e ra pararaha
aku	a ku
iɲuʔaŋoŋ	i ɲuʔaŋ oŋ
ozezeka	oze zeka
moɲi	mo ɲi
okarabɨteb	o karabɨteb
zawaraenam	zawara enam
idʒeãhã	idʒe ãhã
iwaɲe	i waɲe
perabkatu	perab katu
wɨrakaranũwãʔe	wɨrakara nũwã ʔe
ikemɨnanam	ikemɨn anam
awurtar	awu rtar
orekʷarape	o rekʷar ape
tapɨdʒabaʔehar	tapɨdʒa baʔehar
teko	teko
wãĩwĩenam	wãĩ wĩ enam
oiruo	o iru o
ɨat	ɨa t
kudʒatãĩkɨrakom	kudʒatã ĩkɨr akom
napiararehe	napia rarehe
owata	o wata
pedapɨdʒ	ped apɨdʒ
dadʒaʔodʒiɲ	da dʒaʔodʒ iɲ
ɨɲtʃɨwi	ɨɲtʃɨ wi
emẽbɨriɲ	e mẽbɨr iɲ
imen	i men
tapɨdʒakʷər	tapɨdʒa kʷər
okusug	o kusug
okero	o ker o
zaiko	za iko
maziʔogape	ma ziʔog ape
idʒe	idʒe
ozemokasinẽ	oze mokasi nẽ
pitaŋam	pitaŋ am
oʔuramãʔẽkom	o ʔur amãʔẽkom
wɨraʔa	wɨra ʔa
nanipamẽ	nani pamẽ
to	to
dorokuwadʒi	do rokuwa dʒi
apamaʔe	apama ʔe
takuruʔaranẽ	takuru ʔara nẽ
baʔewi	baʔe wi
aerahoraho	a eraho raho
rebe	rebe
otuiomãʔẽrehe	otui omãʔẽ rehe
aiɲuŋokartar	a iɲuŋoka rtar
irupi	i rupi
zawapinimaʔar	za wapinima ʔar
tomãʔẽ	to mãʔẽ
naonanpɨrɨnẽ	naonanpɨ rɨ nẽ
obotukuk	obo tukuk
kor	ko r
koenam	ko enam
oiɲuŋbanam	o iɲuŋ banam
okuar	o ku ar
ibaʔewato	i baʔewat o
zeporikatu	ze pori katu
urupẽhem	urupẽ hem
dezeburupa	de zeburupa
osapatokom	o sapato kom
ozebaradʒo	ozeba radʒ o
oweraho	owe raho
bodʒuhukom	bodʒuhukom
ikotɨɲ	i kotɨ ɲ
oeta	o eta
taʔaŋarehe	ta ʔaŋa rehe
omanõ	o manõ
paila	paila
siparate	sipar ate
apoʔã	a poʔã
okɨrɨg	o kɨr ɨg
ibaʔeraɨ	i baʔeraɨ
pitaŋkomape	pitaŋ komape
owɨb	o wɨb
pamẽitʃe	pamẽ itʃe
meneɲõkom	men eɲõkom
datisikədʒi	dati sikədʒi
kotɨŋ	kotɨ ŋ
aʔeate	aʔe ate
karakuri	karakuri
raikʷara	rai kʷara
ɨaramãʔẽharakomape	ɨaramãʔẽhar a komape
hem	hem
bapɨr	ba pɨ r
dʒaiwərate	dʒaiwəra te
munuʔaŋanamte	munuʔaŋa nam te
demebɨri	de mebɨr i
imõbo	i mõbo
owɨkɨrog	o wɨkɨ rog
tatabodʒ	tata bodʒ
dikaruginam	di karuginam
omozezopodʒ	omoze zopodʒ
karugapopewe	karuga pope we
dʒuribaweʔe	dʒuriba weʔe
okɨr	o kɨr
okidʒewerehe	okidʒe we rehe
pezebuʔuaiɲ	peze buʔua iɲ
demeni	de men i
takuruũwĩ	takuru ũwĩ
dapotari	da potar i
nipẽam	nipẽ am
oronekomuwe	orone kom uwe
dozaugi	do zaug i
epewaramte	e pewaram te
pirarehe	pira rehe
paku	paku
zeʔar	ze ʔar
iʔar	i ʔar
lekolazar	lekola zar
zowomaʔẽkom	zo womaʔẽ kom
otuitar	otui tar
kuʔidʒi	kuʔi dʒi
dozaʔogiŋ	do zaʔog iŋ
pira	pira
watekotɨwarakom	wate kotɨwarakom
naninam	nani na m
kõʔemirehe	kõʔe mi rehe
nõdeawutari	nõde awu tari
kunumizeburupa	kunumi zeburupa
okaʔu	o kaʔu
osuʔupa	o suʔu pa
jawara	ja wara
oiba	o iba
esuʔu	e suʔu
omãʔẽmãʔẽ	o mãʔẽ mãʔẽ
ehe	ehe
nõdekom	nõde kom
pebaridʒaso	pe baridʒa so
opɨhɨgoŋ	o pɨhɨg oŋ
peneɨar	pene ɨar
zeʔari	ze ʔar i
ɨar	ɨar
dawarimãʔẽ	dawari mãʔẽ
oʔupakatu	o ʔupa katu
zoɨpɨ	zoɨpɨ
deru	de ru
tawadʒi	ta wa dʒi
awakʷərarehe	a wakʷəra rehe
daorɨdʒi	da orɨ dʒi
ohoʔe	o ho ʔe
mozepẽãhã	mozepẽ ãhã
zawaro	zawar o
naniãhã	nani ãhã
okoaraõwã	o koara õwã
dati	dati
ɨwɨkʷarapope	ɨwɨ kʷara pope
ipopewar	i pope war
ɨɲawite	ɨɲa wi te
omomokoɲanam	omo mokoɲ anam
nameʔeŋtari	na meʔeŋ tari
baʔerehe	baʔe rehe
oʔuo	o ʔu o
atarawadʒ	a tarawadʒ
amõkomabaʔekʷəranẽ	amõkoma baʔekʷəra nẽ
kobaitʃe	kob a itʃe
nanenũwã	nane nũwã
edeãhãsa	e de ãhãsa
awapeto	awa pe to
idʒarɨdʒanam	i dʒarɨdʒa nam
oboapɨg	obo apɨg
opihiokar	o pihi okar
nõdemõgʷera	nõde mõgʷera
osiŋgar	o siŋga r
ozarareiba	o zara reiba
ozekɨesago	oze kɨesago
pedʒu	pe dʒu
sisukija	si sukija
zeakapɨreri	ze akapɨre ri
ozemĩnõtar	oze mĩnõtar
sikãĩ	si kãĩ
areko	a re ko
oʔaranawe	o ʔara nawe
wɨra	wɨra
so	so
baʔekʷərakom	baʔekʷəra kom
ijɨ	ijɨ
adʒumãʔẽ	a dʒu mãʔẽ
oʔuwo	o ʔu wo
wãĩwĩam	wãĩ wĩ am
opɨhɨpa	o pɨhɨ pa
mama	ma ma
manãkuwapa	ma nãkuwa pa
omeʔeŋ	o meʔeŋ
ibaridʒa	i baridʒa
okidʒerehe	okidʒe rehe
opopor	o popor
owag	o wag
reheʔe	rehe ʔe
ekʷa	e kʷa
tokaʔẽ	to kaʔẽ
owedʒu	o wedʒu
owawag	o wawa g
dewɨrakotɨ	de wɨrakotɨ
sede	se de
tapɨdʒarowər	tapɨdʒa rowər
sikãĩwe	si kãĩ we
nõdeawuawekuwaenam	nõde awu awekuwaenam
ohoɲ	o ho ɲ
kɨto	kɨto
sizika	si zika
omãʔẽo	o mãʔẽ o
zawar	zawar
ɨɲ	ɨɲ
oirur	o iru r
12zaɨãhã	12zaɨ ãhã
kõʔem	kõʔe m
ereɲ	ere ɲ
okuʔeŋ	o kuʔeŋ
roger	ro ger
mun	mun
omõgerokar	omõ ger okar
baripa	ba ripa
mamenasinã	ma menasinã
erezor	ere zor
arowarowagamãʔẽkom	arowaro wag amãʔẽkom
oker	o ker
adʒutar	a dʒu tar
matɨ	ma tɨ
ipopenẽ	i pope nẽ
ozepir	o zepir
ozepɨhɨg	oze pɨhɨg
taike	ta ike
pakuʔa	paku ʔa
pezeboaitesipo	peze boaite sipo
turehewe	tu rehewe
aŋeʔe	a ŋ eʔe
aʔenawe	aʔe nawe
edeãhã	e de ãhã
enã	e nã
apamawi	apama wi
tokerako	to kerako
zabaʔeokar	za baʔe okar
channel	channe l
kobazepe	kob azepe
eʔinẽɨwər	e ʔi nẽɨwər
ozepotaroŋ	oze potar oŋ
ebaridʒa	e baridʒa
dimani	di mani
okuwapɨlɨ	o kuwa pɨlɨ
urupehem	urupe hem
akaŋ	akaŋ
ãhãsa	ãhãsa
omẽbɨr	o mẽbɨr
omõderehe	omõ de rehe
tapɨdʒape	tapɨdʒa pe
oronekarakuriõwãnam	orone karakuri õwãnam
abaʔepotɨr	a baʔepotɨ r
camopipori	camopi pori
derehe	de rehe
omanõmãʔẽ	o manõ mãʔẽ
kupao	kupa o
ikarug	ikarug
pɨhɨka	pɨhɨka
ibaʔewar	i baʔewar
ekerakoɲ	e kerako ɲ
zawaram	zawara m
edɨ	e dɨ
etarawadʒ	e tarawadʒ
kupanam	kupa nam
mokoɲoŋ	mokoɲ oŋ
zozikahar	zo zikahar
karaam	kara am
kobara	kob ara
nõdurtari	nõ dur tari
ereikɨdʒanũwã	ere ikɨdʒa nũwã
tɨãkã	tɨ ãkã
oboʔi	obo ʔi
oeroker	oero ker
orɨorɨo	o rɨo rɨo
wɨraʔauhu	wɨra ʔauhu
oʔurtaroŋ	o ʔur taroŋ
kujã	kujã
abaʔe	a baʔe
bokalape	bokala pe
ozikapaŋ	o zika paŋ
kasuru	kasu ru
onanmãʔẽate	o nan mãʔẽate
toroʔu	toro ʔu
kunumi	kunumi
tosiamnẽ	to siam nẽ
zawa	za wa
iwoʔi	iwo ʔi
nõdeɨane	nõde ɨane
ozewɨkaŋ	oze wɨkaŋ
wãĩwĩ	wãĩ wĩ
urupehemam	urupe hem am
baʔekʷər	baʔekʷər
mɨdɨdʒunam	mɨdɨ dʒu nam
nõdereheo	nõde rehe o
zaidukatukom	za idu katukom
sibaʔetar	si baʔetar
kir	ki r
dazaugpadʒi	da zaugpa dʒi
polo	po lo
zawararaʔɨr	zawara raʔɨr
omõwaɲ	omõ wa ɲ
opaʔawo	o paʔawo
poromokonamãʔẽate	poro mokona mãʔẽate
apamabaʔepeãhã	apama baʔepe ãhã
erezika	ere zika
ebɨʔaramoŋnõwã	ebɨʔaramoŋn õwã
bodʒ	bodʒ
mɨnawe	mɨ nawe
amewar	a me war
zadʒapɨakanam	za dʒapɨaka nam
ozeʔupakaroŋ	oze ʔupa karoŋ
amõkom	amõ kom
owir	o wir
rehedʒi	rehe dʒi
seike	se ike
dʒuriba	dʒuriba
aʔu	a ʔu
azenamiahaokar	aze namiaha okar
izeburupanũwã	i zeburupa nũwã
akuwapakatu	a kuwapa katu
kobãhã	kob ãhã
nebʃa	ne bʃa
owataŋ	o wata ŋ
seredʒuɲ	se redʒuɲ
zaidu	za idu
opoʔo	o poʔo
nõderɨruũwã	nõde rɨru ũwã
noidudʒiso	no idudʒiso
sidʒaorehe	si dʒao rehe
baʔeraʔɨraʔepɨhɨga	baʔeraʔɨra ʔepɨhɨg a
matɨsipo	ma tɨ sipo
erepotaneso	ere potaneso
ikotɨ	i kotɨ
ɨwɨrupi	ɨwɨ rupi
tu	tu
ipope	i pope
maziʔog	ma ziʔog
ozemim	oze mi m
ekojaram	e kojar am
ibaridʒate	i baridʒa te
ʔog	ʔog
opoanba	o poanba
